,yrke
jordbruksarbetare,2
skollärare,2
ryttare,2
överceremonimästare,2
paediatrician,2
hertig av västergötland,2
fiskeritillsynsman,2
balettdansare,2
teol. dr.,2
m fl,2
sailor,2
växtförädlare,2
electro-physiologist,2
deaf-and-dumb teacher,2
inspicient,2
skolinspektör,2
privy councillor,2
porträttgravör,2
hovrättsassessor,2
vice häradshövding,2
tullöverkontrollör,2
ekon. dr h.c.,2
lunds universitet,2
headmaster of harrow,2
murderer,2
stadskamrer,2
föreståndare,2
chefsgravör vid kungl. mynt- och justeringsverket,2
cambridge,2
gravör i avesta,2
governor-general of india,2
musikant,2
positivist,2
portier,2
teol kand,2
prior,2
fältläkare,2
aviator,2
anglist,2
framemaker,2
waitress,2
timmerhandlare,2
förste antikvarie,2
roma,2
1:e bibliotekarie,2
stationsinspektör,2
musical antiquary,2
eugenist,2
nationalist,1
videoproducent,1
tillverkare av tumstockar,1
kyrkoherde i okome för.,1
akademiledamot,1
director musices vid uppsala universitet,1
accountant to the south sea company,1
army furnisher,1
naturgeograf,1
jordbrukslärare,1
kyrkonotarie,1
präst för döva/dövstumma,1
docent i systematisk botanik vid lunds universitet,1
facklig tjänsteman,1
överadjutant,1
political radical,1
inrikesminister,1
chief justice of the u.s. supreme court,1
historiker.,1
konsistorialpresident,1
king of naples and sicily,1
hamnkassör,1
ordf. i gävle motorbåtsklubb,1
garter king-of-arms,1
rytmiklärare,1
socialistisk agitator,1
tolk,1
cadet,1
choreographer,1
förlagschef på norstedts & söner.,1
førstebibliotekarie,1
reg läkare,1
geheimråd,1
anti-emancipationist,1
geotekniker,1
telegrafkommisarie,1
storekeeper,1
zoolog?,1
bryggare,1
hovkonservator,1
universitetsbibliotekarie,1
frisör- och perukmästare,1
förste legationssekretarare,1
kommunalordförande,1
antikvarie vid vitterhetsakademien,1
postvaktmästare,1
fv president,1
stadsmäklare i göteborg,1
gen.priorinna för ursulinerkongregationen,1
bruxelles-uccle,1
lantgreve,1
trykare,1
assurer,1
petrologist,1
apoteksbitr.,1
geochemist,1
clerk-nurse,1
godsherre,1
finländsk journalist,1
professor i historia vid uppsala universitet,1
stud. med.,1
finländsk konstnär,1
professor i litteraturvetenskap,1
seminariestuderande,1
pappershandlare,1
piga och skomakarhustru,1
historie- och porträttmålare,1
generalrikspostmästare,1
fabriksinspektör,1
iraks konsul,1
drottning av danmark,1
bebyggelseantikvarie,1
b.a.,1
flax spinner,1
gesandtschaftsrat,1
skogsforskare,1
professor i orkesterdirigering vid uppsala universitet,1
biblioteksman från lund,1
tysk publicist,1
vd för nobelstiftelsen,1
kyrkoherde och prost i västra vingåker,1
sjöfartsskribent,1
fabriksägare,1
kyrkoherde i sexdrega,1
folkdiktsforskare,1
föreståndare på övralid,1
översättare av skandinavisk litteratur,1
tunnbindare,1
bread manufacturer,1
systemvetare,1
food chemist,1
ekonomichef,1
pensionsnämndsordförande,1
grammatiker,1
sjöofficer och professor i matematik,1
pol. mag.,1
ombudsman i.o.g.t,1
senare i göttingen,1
cabinet-maker,1
grävningsförman,1
writer on geography,1
missionsföreståndare,1
svenska institutet,1
distriktsköterska,1
ornamentsbildhuggare,1
avdelningen för biblioteksstöd,1
kung av danmark,1
nederländska ostindiens generalguvernör,1
svensk och norsk konsul,1
konstnär; emalj- och miniatyrmålare,1
medical reformer,1
kyrkoherde i skogs församling,1
politician in india,1
landsfogde,1
miniatyrmålare,1
teatermålare,1
swedish-norwegian vice consul in smyrna 1856-1887; consul 1887-1895,1
bäckedal,1
contralto,1
pol.mag,1
propagandachef,1
chef för nautisk-meteorologiska byrån,1
franciskanbroder,1
saami missionary,1
royal prince,1
nya zeeland,1
nässjö,1
medicinal chemist,1
klockgutare i jönköping. rådman.,1
ungsocialist,1
andre bibliotekarie,1
hovmarskalk; officer,1
stabsadjutant,1
skådespelare. regissör,1
nordiska metallbolaget,1
univ.lärare i kiel,1
poltical hostess,1
rotary peace fellow,1
science demonstrator,1
överhovpredikant,1
pope,1
dean of christ church oxford,1
slottsbibliotekarie,1
byggnadschef i göteborg,1
professor i antikhistoria,1
vedhandlare?,1
tv-programledare,1
baptist biblical scholar,1
bokillustratör,1
docent i missionshistoria,1
univ. lärare i breslau,1
timmermätare,1
konvertit till islam.,1
medievist,1
vitterhetsidkare,1
underståthållare,1
västerås stad,1
kykoherde i höja,1
chefredaktör för hufvudstadsbladet helsingfors,1
director of jaegerspris,1
mine-inspector,1
warehouse owner,1
socialattaché,1
shoemaker,1
miljövårdare,1
barnavårdsinspektör,1
svensk/tysk politiker,1
akademisk ritmästare i lund,1
archdeacon of lincoln,1
justeringskontrollör,1
revolutionär,1
folkminnesupptecknare,1
geolog?,1
anglo-jewish community leader,1
lantmäteridirektör,1
glasblåsarmästare,1
orthopaedic surgeon,1
moralist och litteraturteoretiker,1
bill broker,1
hofrat,1
litteraturhistoriker och estetiker,1
cotton inspector,1
religionsfilosof,1
hårfrisörska,1
adlad generalkrigskommissarie,1
expeditionsföreståndare,1
patentingenjör,1
diplomat och poet.,1
amtman,1
bibliotekarie och litteraturhistoriker (psalmdiktning),1
samepolitiker,1
chefredaktör för handes amsorya,1
kontraktsprost i torna kontrakt,1
presskommissarie,1
prince del drago,1
inspector of schools,1
kungälv,1
dispensationalist,1
ämneslärarinna i engelska och svenska,1
rasbiolog,1
fondmäklare,1
fregattenkapitän,1
häradsdomare,1
political agent,1
balett- & teaterhistoriker,1
rabbi,1
diktuppläsare i radio,1
nationalbankdirektör,1
dominikanermunk,1
racing patron,1
grössby,1
tea and coffee merchant,1
oskarshamn,1
professor i teckning,1
rektor i söderköping,1
univ.lärare i hamburg,1
ärkebiskop av canterbury,1
prästbiograf,1
dialectologist,1
lieutenant,1
stenographer,1
handlande i tådened,1
spårvagnskonduktör,1
literary adviser,1
vid lunds universitets folkminnesarkiv,1
krigsminister,1
pärlstickare,1
utopist,1
träexportör,1
vice pastor,1
docent i klassisk fornkunskap och antikens historia,1
ytterby,1
häradshövding i frosta och färs härad.,1
notkopist?,1
mätningsbiträde,1
landssekreterare i uppsala,1
foreign office,1
print artist,1
tysk konsul,1
college administrator,1
telescope builder,1
italiensk bibliotekarie,1
handarbetslärarinna,1
förstekonservator,1
häradsskrivare,1
sub agent,1
expert på bysantinsk konst,1
studiesekreterare,1
hjälpkommitén för finlands barn,1
muisker,1
københavn,1
voluntary aid worker,1
west indies merchant,1
inskrivningsdomare,1
1:e bokhållare i järnvägsstyrelsen,1
dealer in fancy goods,1
stadsdistriktsläkare,1
maskindirektör,1
marine zoologist,1
tekniker,1
artist's biographer,1
maskinmästare,1
government advisor in agronomy,1
bruksidkare,1
förste statsgeofysiker,1
filatelist,1
cerbère,1
riksfinansminister,1
lotstjänsteman,1
notarius publicus,1
ballongflygare,1
librairie,1
king's proctor,1
jern,1
legationspredikant,1
ass. director,1
tv-fotograf,1
førstebibliotekar,1
litigant,1
militant anarkist,1
dr.fil.,1
founder of the ordnance survey,1
biskop i strängnäs stift 1829-1838,1
servant,1
skogsmästare,1
skolkonsulent,1
överpostiljon,1
fil. hedersdr,1
museiperson,1
lärare i ortopedi,1
assistent vid sorbonne,1
lärare i franska vid gbgs högskola,1
musiklärarinna,1
dir. i svenska gymnastikförbundet,1
polisöverkonstapel,1
ordensstiftare,1
kriminalist,1
tysk industriman,1
lotta,1
notariechef,1
socialantropolog,1
forensic psychiatrist,1
musikolog,1
skattmästare i värmländska sällskapet,1
page,1
socialarbetare,1
eng. arbetarledare,1
minerals and shells,1
kolbäck,1
amateur naturalist,1
clerk assistant of the house of lords,1
sports writer,1
vinhandlare,1
registrator i statsrådsberedningen,1
evolutionsbiolog,1
järnvägsnivellör,1
lantmätare och justerare av vikter,1
intendent vid kungliga museet,1
cathedral organist,1
sv. metallindustriarbetareförbundet avd,1
pioneer of electricity,1
hospital inspector,1
förläggare i wien,1
riksbanksfullmäktige,1
fire eater,1
förste konservator på nasjonalgalleriet,1
draper,1
die-engraver,1
sekreterare i göteborgs kungliga vet. - o vitt. samh.,1
business owner,1
governess,1
lagman och president i göta hovrätt,1
lindköping,1
kirchenrat,1
professor at lund university,1
fil. mag,1
domprost i uppsala,1
dr. phil,1
stockholm.,1
landstingsman i kävlinge,1
läkekonstens gud,1
borgmästare i marstrand,1
teologie doktor,1
whig grandee,1
philosophic radical,1
curious character,1
kaféidkare,1
värdinna på millesgården,1
revivalist,1
svensk prins,1
lantbrukare i hög,1
iron merchant,1
arkitekturgravör,1
kabinettssekreterare,1
biskop i alba,1
drottning av england,1
kompositör och författare,1
ordförande och sekreterare i avesta hälsovårdsnämnd,1
st. peter,1
bleck- och plåtslagare,1
borlänge,1
byrådirektör i stockholm,1
fv rektor för uppsala universitet (2012-2020),1
kamrer i riksgäldskontoret,1
tågmästare,1
ekumenisk patriark av konstantinopel,1
nonconformist writer,1
sälfångare,1
domprost i växjö,1
filosofie doktor i tysk språkvetenskap,1
levnadstecknare,1
lantmäteristuderande,1
rörverksarbetare,1
antiquarian artist,1
ingenjör och teknisk chef vid ab saturnus,1
co-operator,1
presschef,1
aktris,1
polsk konsul,1
distriktskamrerare,1
direktör för wuvulus kokosplantage,1
folkskollärare i sjöbo,1
linjeförman,1
ämbetsman och skriftställare,1
ordförande i växjö teaterförening,1
handelsförest.,1
coach-painter,1
hippolog,1
varberg,1
akademiträdgårdsmästare i lund 1808-1828,1
kinosjef,1
kaptenmekanikus,1
kassörska hos göteborgs konstförening.,1
friend of robert burns,1
palm-reader,1
barnjungfru,1
univ.lärare i oxford,1
verksam i sverige,1
prison governor,1
bilhandlare,1
political and literary hostess,1
geometriker,1
museivaktmästare,1
radiojournalist,1
chief bailiff,1
stenhuggare,1
befallningsman,1
dir gen,1
univ.lärare i dorpat,1
departementschef,1
köpenhamn. tidigare docent i uppsala,1
assurancemegler,1
lärare vid école cantonale,1
hovläkare,1
draftsman,1
verkstadsförman,1
collector of musical instruments,1
vizepräsident der reichsbank,1
riksmarsk,1
retoriklärare,1
dansk författare och museiintendent.,1
univ.lärare vid berkley univ. of carlif.,1
arctic scientist,1
oberst,1
spårvägsman.,1
silk-weaver,1
medical services director general,1
överhovjägmästare,1
1e intendent på riksförbundet för bildande konst,1
pastellist,1
förste lantmätare,1
kyrkoherde i skredsvik,1
lunds stift.,1
the pierpont morgan library,1
agrolog,1
conductor,1
maltster,1
heiress,1
lenins sekreterare,1
medaljskulptör,1
orientalist och professor,1
prison reformer,1
högskoleföreståndare,1
företagare,1
patriarch of alexandria,1
telegraph entrepreneur,1
urkundsutgivare,1
missionär i sydafrika,1
movie director,1
överborgmästare,1
chief forestry supervisor,1
kyrkoherde i eskilstuna,1
east india co. chaplain,1
pressombudsman,1
konst- och kulturforskare,1
stockholms soc. dem. ungdomsförbund,1
oboeist,1
portugal),1
trädgårdskonsulent,1
preussisk landhofmeister,1
programredaktör,1
geofysik,1
univ.lärare i königsberg,1
ober-stud. dir,1
assistant chief constable,1
författare och journalist,1
förläggare och tryckare.,1
folkförsörjningsminister,1
arabist,1
hjelmafors bruk,1
direktör i internationella byrån mot alkoholismen,1
expeditör,1
king of qin,1
colonial legislator,1
roman catholic polemicist,1
rustningssmed,1
religionssociolog,1
lektor vid malmö högre allmänna läroverk,1
professor of art emiritus,1
kyrkoherde i fjälie,1
solicitor-general,1
amanuens vid lunds observatorium,1
tjänstedirektör,1
förest. för folkets park,1
läroverksadjunkt i karlskrona,1
restaurangman,1
övervaktmästare,1
preses,1
adjunkt vid gbgs västra realskola,1
professor i kulturgeografi,1
assistent vid utgrävningarna i nya lödöse,1
prästvigd språklärare,1
editorial superintendent,1
cand. theol.,1
inspettore,1
överättare,1
iron-presser,1
1663-1665 i lund och 1665-1668 i stockholm,1
konstutställare,1
punch cutter,1
scenchef,1
director cantus,1
läkare och politiker,1
queen's university,1
överste för prins gustafs,1
sändebud,1
ämneslärarinna,1
revy- och teaterforskare,1
trainer,1
färgerifabrikör,1
univ.lärare i heidelberg,1
domkyrkosyssloman i skara,1
bibliotekarie m.m.,1
master draughtsman,1
professor i fysik,1
clarté,1
kameralist,1
brain surgeon,1
music director,1
galvanisatör,1
jazzmusiker,1
ärkebiskopinna,1
gruvdräng,1
färgmästare,1
fattigvårdsinspektör,1
pastor i tyska församlingen och assessor i stockholms stads konsistorium,1
king of france,1
teol. kand. g.m. åkesson,1
landråd,1
norsk författare,1
univ.lärare i göttingen,1
taxeringsinspektör,1
urolog,1
lärare vid teknisk skola,1
bibliotekarie vid universitetsbiblioteket i lund,1
censor,1
lärare i harmoni vid kongl. musikkonservatorium,1
professor vid konstakademien i stockholm.,1
fångvårdstjänsteman,1
hattmakare,1
missionärsledare,1
spårvägsdirektör m.m.,1
sekreterare i svenska sällskapet minneapolis - st paul,1
hovboktryckare,1
ombud för tidens förlag,1
kyrkoman och riksdagsman.,1
wohlfahrtsministerium,1
cameo cutter,1
lyriker.,1
petrographer,1
partihandlare,1
sekreterare vid nationaltheatret,1
revyman,1
vara kontrollhönseri,1
quinarian,1
skolköksinspektris,1
räntmästare hos svenska akademien,1
archduke of austria and sovereign of the netherlands,1
riksdagens talman,1
kassör o. expeditionsförest. i stockholms arbetarkommun,1
master of balliol college,1
aarhus,1
lantmätare (inspektor),1
wallasey labour party,1
frisör,1
tjänsteman vid riksantikvarieämbetet,1
he was professor of archeology at uppsala university in 1927-1952,1
tysk baltisk skriftställare,1
skutskeppare,1
protoierej,1
antikforskare och föreståndare för svenska institutet i athen,1
hemvårdarinna,1
litteratur- teater- och konstkritiker,1
rallare,1
militär vid flottan,1
vallmästare,1
abonnemangschef vid göteborgs stadsteater,1
språkforskare (litauiska),1
photographic entrepreneur,1
local manager,1
konstkommissionär,1
universitetslärare i kowno,1
bokagent,1
förste hovjägmästare,1
förskolelärare,1
wien.,1
kurir,1
calico printer,1
konstskriftställare,1
forsbacka,1
hantverkare,1
fil. lic. i konstvetenskap,1
skomakare i hälsingborg,1
tillverkare av balansvågar och myntvikter,1
promoter of arts and literature,1
föreståndare för nietzsche-arkivet i weimar,1
kulturvård,1
comic writer,1
diplomat?,1
stadsingenjör.,1
cembalolärare,1
lantråd,1
bokhandelsmedhjälpare,1
fn:s generalsekreterare,1
holländsk översättarinna,1
professor i estetik,1
clockmaker,1
direktör på oslo kinematografer,1
modedesigner,1
stadsskrivare,1
tysk statsvetenskapl. författare,1
informationsforskare,1
trustee,1
ledvad,1
kyrkoherde i stoby och n. sandby,1
lärare i svenska,1
borås,1
förlagskonsulent,1
arbeiter-zeitung,1
tours,1
förlagsredaktör och folkbildare,1
hovkamrerare,1
oberkirchenrat,1
stiftssekreterare,1
evolutionary biologist,1
gymnastiklärarinna,1
dyer,1
high school pupil,1
inoculator,1
duca di milano,1
guvernementssekreterare på den svenska kolonin saint-barthélemy,1
järnvägschef,1
kamrerare i prästerskapets änke och pupilkassa,1
rheumatologist,1
direktör för konstakademien i münchen,1
glasblåsare,1
dansk läroverkslärare,1
handelsbokhållare,1
operasångreska,1
envoy,1
adjunkt i zoologi,1
krönikör,1
art functionary,1
götaverken,1
privatdocent,1
metallurg,1
hostess,1
munk i vadstena,1
iranist,1
kyrkoherde i s:t peters kloster,1
ordinarie adjunkt i latin och grekiska,1
destillatör,1
landshövding i västerbottens län,1
poliskommissarie,1
professor i diagnostisk radiologi vid lunds universitet.,1
cartoonist,1
båtkonsulent,1
senator dordracensis et ibidem tribunus aerarius,1
dövstumlärare och skriftställare inom sitt område.,1
the art institute of chicago,1
lektor och författare.,1
principal of st andrews,1
nutritionist,1
runforskare,1
postmästare i trollhättan,1
tidningsman.,1
kung av danmark och norge,1
commisary,1
debattredaktör,1
överstekammarherre,1
ironworker and mechanic,1
tropeiro,1
crown equerry,1
väg- och vattenbyggnadsingenjör,1
consul consul,1
båtbyggare,1
stadsarkivarie,1
klarinettist,1
föreståndare för passmore edward's stiftelse,1
stadshusintendent,1
adjunkt vid göteborgs latinläroverk,1
afdelningsleder,1
fil lic.,1
dr ing,1
scenisk artist,1
hellerup,1
l in lettere,1
arkivråd,1
partisekr.,1
plumber,1
docent vid univ. i rom,1
law student,1
finansminister för ständerna i languedoc,1
university beadle,1
viskompositör,1
professor i ekonomi och statsvetenskap,1
scandinavian scholar,1
restaurangchef,1
map publisher,1
industrihistoriker,1
aquatintist,1
rio de janeiro,1
medicinhistoriker,1
recensent i schmollers jahrbuch f. gesetzgebung...,1
belgisk konstnär,1
master of the royal hunt,1
lärare vid alnarps lantbruksinstitut,1
postförvaltare,1
åbo,1
advocate-general,1
gördelmakare och tillverkare av insatsvikter.,1
rektor i heidelberg,1
armaments manufacturer,1
ordensintendent vi kungl. maj:ts orden,1
politieborgmästare,1
domkyrkoarkitekt,1
sekr. i scensällskapens organisationsbyrå,1
professor i anatomi,1
railway clerk,1
räntmästare,1
konstnär?,1
socialistisk filosof.,1
italiensk pacifist,1
översättare.,1
personaldirektör,1
humanist and poet,1
skandinaviska grammophon ab,1
administrator in ireland,1
musikchef,1
kassörska vid skådebanan,1
fältintendent,1
författare och redaktör,1
norsk socialekonom o. sociolog,1
coptic scholar,1
landstingsdirektör,1
literary entrepreneur,1
fredsarbetare,1
kanslitjänsteman,1
teolog och filosof,1
distiller,1
sekreterare i sällskapet bokvännerna i helsingfors.,1
skoradiochef,1
jur,1
skåne,1
torpare,1
övermyntmästare,1
konstnär och tecknare,1
angler,1
filosofihistoriker,1
art administrator,1
gulddragare,1
rektor vid folkskoleseminariet i göteborg,1
programredaktör i norsk rikskringkasting,1
hauptmann,1
rigspolitichef,1
writer on philosophy,1
coin dealer,1
trading in cotton,1
geoarkeolog,1
minstrel,1
estetiker och universitetsbibliotekarie,1
state prosecutor,1
medicine doktor,1
överinspektör,1
folkskollärare.,1
aeronautical designer,1
souschef,1
authority on hallmarks and potters' marks,1
byrådirektör i kungl. socialstyrelsen,1
fattigvårdsdirektör,1
dr. jur,1
topographical engineer,1
smidesmästare,1
vd inom massa- och pappersindustrin,1
fransk politiker,1
rustmästare,1
health campaigner,1
reformist,1
handelsbiträde,1
flygplatschef,1
professor vid handelshögskolan i berlin,1
sidenkramhandlare,1
förste kurator,1
self-proclaimed philosopher,1
vicekansler vid universitetet i köln,1
univ.lärare i atén,1
reseskildrare och historiker,1
hästuppfödare,1
medaljmakare,1
anst. vid ab john beijers skofabrik,1
militärattaché i stockholm,1
publicist/tidningsman,1
filantropist,1
produktdesigner,1
dhs,1
reviewer,1
museiman i berlin,1
docent och universitetslektor vid lunds universitet,1
hospitalsföreståndärinna,1
notarie i skolöverstyrelsen,1
premiärdansös,1
förste statsmeteorolog,1
sekreterare vid uddevalla museum,1
marquis di riofreddo,1
läkare.,1
cheese seller,1
chambermaid,1
rektor/föreståndare på gustavus adolphus college,1
översättare fr. spanska,1
naturalhistoriker,1
lanthushållare,1
tenngjuterifabrikant,1
kanslist i drottning ulrika eleonora d.ä.:s kansli.,1
universitetslärare i münchen,1
rektor vid malmö skola,1
sjöhistoriker,1
kioskägare,1
psalmboksförfattare,1
purser,1
studerande?,1
manager of coal mines,1
administratore,1
tryckare.,1
idrottsorganisatör,1
borgarrådssekreterare,1
hop merchant,1
monsignor,1
byråarkitekt,1
stadskanslichef,1
profesor,1
sekreterare hos alexandra kollontay,1
mejerist,1
serveringsägare,1
ramaffärsinnehavare,1
sekreterare i kunstenaarcentrum voor geestelikjke weerbaarheid,1
fransk ämbetsman på martinique,1
apostolisk provikarie i alger,1
dissenting minister,1
intendent vid carnegieska sockerbruket,1
permanent secretary,1
dr. rer. pol.,1
distriktschef,1
projektledare,1
kyrkohistoriker.,1
univ. lärare i leipzig,1
ballerinna,1
i litteraturvetenskap,1
vinegar brewer,1
klassicist,1
promoter of science in australia,1
motala,1
mpönsterriterska,1
bullion merchant,1
professor i antikens kultur och samhällsliv.,1
fabrikssyster,1
hushållslärarinna,1
chief engraver to the mint,1
formgivare och författare,1
violast,1
överste i flygvapnet,1
regissiör,1
exportör,1
postal reformer,1
rysk tsar,1
tekn dr,1
akademiritmästare i lund,1
korrekturchef,1
homoeopath,1
telegrafist.,1
teol lic,1
gymnastiklärare vid norrköpings hal,1
writer on typography,1
kungligt råd,1
biografägare,1
platsredaktör,1
tjänsteman i ecklesiastikexp,1
professor vid chalmers,1
rederitjänsteman,1
religious leader of the samaniyya order in sudan,1
områdeschef hemvärnet,1
moralist,1
countru court judge,1
polsk-amerikansk pianist,1
tillfälligt anställd i stockholms spårvägar,1
finsk vicekonsul,1
logiker,1
royal counsellor,1
kung av sverige,1
redaktör i handes amsorya,1
lektor i helsingborg,1
konstskridskoåkare,1
antropolog?,1
handwriting expert,1
extra ordinarie kartograf,1
archdeacon of oxford,1
organisationschef,1
arkivråd och författare,1
dean of westminster and wells,1
kand mag,1
presschef hos tyske rikskanslern,1
konstruktör hos hamnstyrelsen,1
kand theol,1
kamrer vid generalguvernementet över skåne etc,1
spårvägsdirektör,1
privatlärd,1
bofors,1
singer singer,1
bokhandelsanställd,1
kaptein,1
professor i naturrätt och moral,1
commissioner of the customs,1
lieutenant general. linköping,1
coffee,1
dir of admissions,1
magazine editor,1
clerk of the royal society,1
krigskommissarie,1
skeppspredikant,1
trade school student,1
andre kurator,1
tullverkstjänsteman,1
mandolinist,1
kanalbyggare,1
stortingsrepresentant,1
stilforskare,1
adlad assessor,1
kyrkoherde i stehag,1
garvare,1
1:e postiljon,1
kyrkoherde i örgryte,1
halmstad,1
köpman i lund,1
anthropometrist,1
textile merchant,1
upholsterer,1
globe maker,1
professor vid lunds universitet,1
utrikeskomissariatets chifferavd.,1
tysk affärsman,1
explorer in africa,1
piga,1
amanuens vid astronomiska observatoriet,1
viceregent,1
bee-keeper,1
mystiker,1
hembygdsvårdare,1
fil. heders dr.,1
kulturchef,1
univ.-lärare,1
amatörfotograf,1
docent i bysantinsk historia,1
secretary-interpreter-clerk,1
clerk of the communitygovernment /officer of the polish army,1
ambassadtjänsteman,1
trafikflygare,1
hemsömerska,1
roteman,1
förste hovtandläkare,1
ombudsman i sthlms socialdemokratiska ungdomsdistrikt,1
rocket designer,1
esperantist,1
general secretary,1
neuropsykiatriker,1
barnavårdskonsulent,1
sthlm,1
forntidsforskare,1
tolagskamrer,1
zoolog i japan,1
opera-,1
hymnolog,1
professor i arkitekturhistoria,1
teologie professor,1
ortnamnsforskare,1
ångbåtskommisionär,1
tillfällighetspoet,1
universitetskamrer,1
univ.lärare i groningen,1
docent i litteraturhistoria,1
svensk diplomat i berlin 1770-1773.,1
ordf. i södertälje s.d.u.k.,1
attorney general,1
royalist,1
fullm. i finansmin.,1
tromp l'oeil-målare,1
hamburg,1
operatic manager,1
ljungskile,1
bruksägare och politiker,1
ladugårdskarl,1
universitetslärare i oslo,1
mechanotherapist,1
länsman.,1
häradshövdings namn. ombudsman i skånska hypoteksföreningen,1
rektor vid ystads  h a l,1
civlingenjör,1
skolrektor,1
docent i statistik,1
assessor i kommerskollegium,1
referendarie,1
expert på klassisk konst,1
ladnssekreterare,1
geheime regeringsråd,1
kandidat,1
generalauditör,1
kyrkoherde i färlöv och norra strö,1
suffraganbiskop i poznań,1
histoire naturelle,1
assisterande professor,1
campaigner for women's rights,1
cand mag,1
professor i klassiska studier,1
social anthropologist,1
maskinist vid elektricitetsverket i lund,1
socialinspektör,1
draftsman and engraver,1
minister i finland,1
post-office commissioner,1
sekr. och kassör i hallands köpmannaförbund,1
polis,1
dansk prins,1
faktoriarbetare,1
affärsinnehavare.,1
district traffic manager,1
tjänsteman vid flottan,1
1: bibliotekarie,1
klimatolog,1
kyrkoherde och kontraktsprost,1
professor i iransk filologi i leningrad,1
mining manager,1
stationsföreståndare,1
abbot i spanheim,1
skattmästare,1
politisk föredragshållare,1
filantro,1
förste kontorist,1
sedemera generalmajor och landshövding i malmöhus län,1
chief inspector of schools,1
stationsskrivare,1
socialdemokratinen puoleutoimisto rahastonhoitaja,1
språkforskare i trondheim,1
e.k.k.i:s sekr.,1
flygmajor,1
förste hovsångare,1
universitetslärare i bonn,1
music publisher,1
utställningsvärdinna,1
utlandssvensk affärsman,1
florens,1
preussiskt regeringsråd,1
legal philosopher,1
karikatör,1
recluse,1
minister of naval affairs,1
proviantbedienter,1
chefsredaktör för helsingborgs dagblad 1884-1899,1
marine biologist,1
geheimekonferensråd,1
teaterpersonlighet,1
master of forestry,1
ackvisitör,1
governor of the hudson's bay company,1
medical psychologist,1
anst. vid einar ljungbergs förlag,1
trader- restaurateur,1
sekreterare i franska kommunistiska partiets comité de secours,1
kardinal,1
bibelforskare,1
kinamissionär,1
lotsfördelningschef,1
rektor vid lunds katedralskola,1
komminister i harestad,1
förrättningsman,1
godsförvaltare,1
kommunalexekutor i göteborg,1
bussförare,1
svensk konstnär,1
agronomist engineer,1
holländsk skulptör,1
programdirektör i sveriges radio,1
greek philologist,1
maringeolog,1
förenta nationernas generalsekreterare,1
fd verksamhetschef,1
platsombudsman,1
municipal clerk,1
schriftleiter,1
campaigner against the lunacy laws,1
writer of school books,1
svensk-amerikansk konstnär,1
fenologiväktare,1
justerare.,1
military physician,1
mr. jeppson was general manager of norton for many years,1
rural dean,1
kyrkoherde i norra rörum,1
med kansliråds titel,1
texas,1
illusionist,1
försäkringsmatematiker,1
hovrättsråd i åbo hovrätt,1
rikshistoriograf,1
hertiginna av västergötland,1
generalsekr. för rassemblement universel pour la paix,1
förste lärare,1
befälselev,1
hovlakej,1
museikvinna,1
swimmer,1
eugenicist,1
master of clare college,1
forstmand,1
nobleman,1
commissioner of prisons,1
elector,1
professor vid univ. i kiel,1
översköterska,1
fältpräst,1
stud? massachusetts institute of technology,1
musiker och kompositör,1
bibliotekarie. överbibliotekarie vid lunds universitetsbibliotek.,1
skriftställare (pseudonym för john jönsson),1
fornvårdare,1
norrköping,1
porslinsmålare,1
uppbördsassistent,1
sjömanspräst,1
prisoner,1
professor i filosofi och pedagogik vid göteborgs högskola,1
gymnastikpedagog,1
steel manufacturer,1
keeper,1
provincialläkare,1
akademiträdgårdsmästare i lund,1
"professor vid instituto di scienze sociali "" cesare alfieri""",1
kommunfullmäktiges ordförande,1
lord of the netherlands,1
insurance specialist,1
fabrikschef,1
förste arkivarie i utrikesdepartementet,1
vd,1
domkyrkoorganist,1
soczialrevolutionäre deutsche freiheitsbewegung,1
minnesota,1
fil. dr,1
lärare i japan,1
mag.art.,1
stengårdshult,1
riksdagspresident,1
furir,1
vicar (dean),1
riddare,1
yrkessjuksköterska,1
rättshistoriker,1
slottsbyggmästare,1
utrecht,1
logoped,1
hundexpert,1
föreståndarinna samariterhemmet,1
committee man,1
getinge,1
sömerska,1
rektor i höganäs,1
poisoner,1
tillförde augustineremiternas orden,1
lingvist och litteraturvetare,1
fiskeriexpert,1
maskinarbetare,1
stadsingenjör i stockholm,1
hotelldirektör i new york,1
pol.stud.,1
fencing master,1
mfl,1
prorektor,1
handelssekreterare,1
lärare vid wiens universitet,1
extrageolog vid sveriges geologiska undersökning,1
ogan designer,1
historian of architecture,1
prince-elector and duke of pfalz-sulzbach,1
a.s.c.,1
latin scholar,1
sekreterare i enköpings vänsterförbund,1
kyrkoherde i väderstad,1
fackordförande,1
skivsamlare,1
methodist,1
neurofysiolog,1
postkontrollör,1
propagandist,1
muckraker,1
kvinnohistoriker,1
kansliråd på finansdepartementet,1
kyrkoherde i linderöd,1
textiltekniker,1
akademiträdgårdsmästare,1
tidningsredaktörer,1
fine-art publisher,1
historisk lingvist,1
förste bibliotekarie i stockholm,1
lärare i kemi,1
redaktör för östgöta korrespondensen,1
järnvägskamrer,1
professor of the history of art at university college london,1
språklärare,1
konsul i stockholm,1
förste intendent,1
väg- och vattenbyggare,1
lord advocate,1
litograf.,1
professor i klassisk arkeologi,1
amateur musician,1
ordf i fatima gille,1
karantänsmästare å känsö,1
livländsk arkivman,1
