,yrke
psychoanalyst,14
pupil,14
hydrographer,14
art collector,14
typograf,13
bankir,13
handlanden,13
statsvetare,13
lecturer,13
genealogist,13
språkman,13
vice häradshövding,13
folkskoleinspektör,13
vissångare,13
water colour painter,13
seaman,13
theatre manager,13
folklorist,13
medaljör,13
överintendent,13
sjöofficer,13
parasitologist,13
fil.dr.,12
venereologist,12
med dr,12
statistiker,12
universitetslektor,12
kommendör,12
kirurg,12
patron of the arts,12
businessman,12
educationist,12
kyrkohistoriker,12
uppfinnare,12
principal,12
civilekonom,12
lagman,12
konservator,12
kommendörkapten,12
caricaturist,12
freskomålare,12
consul,12
soldier,12
printmaker,12
antikvarie,12
cartographer,12
ekonom,12
ärkebiskop,12
schoolmaster,12
bergsingenjör,12
cellist,11
handelsman,11
physical anthropologist,11
college head,11
överingenjör,11
surveyor,11
librettist,11
folkskollärarinna,11
byggmästare,11
marinbiolog,11
dekorationsmålare,11
sheriff,11
political writer,11
överlärare,11
förlagschef,11
colonial governor,11
berlin,11
critic,11
alchemist,11
konsthantverkare,11
snickare,11
lexicographer,11
med. dr. h. c.,11
metallurgist,11
marshal,10
toxicologist,10
genealog,10
kommunalman,10
skogsman,10
bildkonstnär,10
sångpedagog,10
conchologist,10
illustrator,10
sjukgymnast,10
astrologer,10
agricultural chemist,10
teol dr,10
endocrinologist,10
museidirektör,10
musikteoretiker,10
guvernör,10
treasurer,10
kansliråd,10
army surgeon,10
tradesman,10
oslo,10
paris,10
friherrinna,10
colonel,10
huvudredaktör,10
schlagertextförfattare,10
political scientist,10
literary critic,10
printseller,9
försäkringsdirektör,9
förlagsredaktör,9
legationsråd,9
sinologist,9
visdiktare,9
contractor,9
överdirektör,9
egyptolog,9
senator,9
literary scholar,9
riksantikvarie,9
textilkonstnär,9
psykiater,9
inspektor,9
språkvetare,9
bruksägare,9
förlagsdirektör,9
factory owner,9
revyartist,9
kyrkoman,9
revyförfattare,9
serviceman,9
teol. dr. h. c.,9
technologist,9
priest,9
klassisk filolog,9
korrespondent,9
counsellor,9
pressattaché,9
bookkeeper,9
personhistoriker,9
mineralog,9
colonial administrator,9
attorney,9
dental surgeon,9
genetiker,9
literary editor,9
borgarråd,9
hellenist,9
bergsråd,9
tillverkare av insatsvikter,9
legal writer,8
akvarellmålare,8
auctioneer,8
huntsman,8
skolledare,8
vicekonsul,8
chamberlain,8
aktuarie,8
försäkringstjänsteman,8
slöjdlärare,8
bildhuggare,8
fornforskare,8
lutsångare,8
fabriksarbetare,8
förlagsman,8
polymath,8
congregational minister,8
antikforskare,8
mekaniker,8
art dealer,8
trubadur,8
gymnast,8
soprintendente,8
hovrättsråd,8
bokhållare,8
herald,8
diktare,8
scenograf,8
kontorschef,8
forester,8
stadsläkare,8
akademiräntmästare,8
vaktmästare,8
postmästare,8
phrenologist,8
generalsekreterare,8
technician,8
skräddare,8
kulturhistoriker,8
unitarian minister,8
baron,8
wholesaler,8
byrådirektör,8
landsantikvarie,8
amiral,8
actress,8
