,Yrke,Antal,SBL_SKBL
192,Frälsningsofficer,,SBL_only
193,Fysiker,,SBL_only
194,Fysiolog,,SBL_only
195,Fågelfotograf,,SBL_only
196,Fäktare,,SBL_only
197,Fäktmästare,,SBL_only
198,Fältmarskalk,,SBL_only
199,Färgare,,SBL_only
200,Förbundsgrundare,,SBL_only
201,Förbundsordförande,3,both
202,Föreläsare,12,both
203,Föreningsgrundare,,SBL_only
204,Föreningsordförande,,SBL_only
205,Företagare,45,both
206,Företagsekonom,,SBL_only
207,Företagsledare,,SBL_only
208,Förfalskare,,SBL_only
209,Författare,208,both
210,Förgyllare,,SBL_only
211,Förlagsman,,SBL_only
212,Förläggare,,SBL_only
213,Förskolepionjär,,SBL_only
214,Försvarsminister,,SBL_only
215,Försäkringsman,,SBL_only
216,Gallerist,3,both
217,Garvare,,SBL_only
218,Gastronom,,SBL_only
219,Gatudirektör,,SBL_only
220,Genealog,3,both
221,Generaldirektör,,SBL_only
222,Generalguvernör,,SBL_only
223,Generalkrigskommissarie,,SBL_only
224,Generalpostdirektör,,SBL_only
225,Generalsuperintendent,,SBL_only
226,Generaltulldirektör,,SBL_only
227,Genetiker,,SBL_only
228,Genremålare,,SBL_only
229,Geodet,,SBL_only
230,Geograf,,SBL_only
231,Geolog,,SBL_only
232,Germanist,,SBL_only
233,Geschworner,,SBL_only
234,Glaciolog,,SBL_only
235,Glaskonstnär,,SBL_only
236,Glasmästare,,SBL_only
237,Godsförvaltare,,SBL_only
238,Godsägare,26,both
239,Grafiker,,SBL_only
240,Gravör,2,both
241,Grosshandlare,,SBL_only
242,Gruvarbetare,,SBL_only
243,Gruvingenjör,,SBL_only
244,Guldgrävare,,SBL_only
245,Guldsmed,,SBL_only
246,Guvernör,,SBL_only
247,Gymnasielärare,,SBL_only
248,Gymnast,,SBL_only
249,Gymnastiklärare,,SBL_only
250,Gästgivare,,SBL_only
251,Handboksförfattare,,SBL_only
252,Handelsman,,SBL_only
253,Handelsminister,,SBL_only
254,Handelsstatistiker,,SBL_only
255,Handskriftsutgivare,,SBL_only
256,Harnesktryckare,,SBL_only
257,Helbrägdagörare,,SBL_only
258,Helgon,,SBL_only
259,Hembygdsforskare,,SBL_only
260,Hembygdshistoriker,,SBL_only
261,Hemgårdsföreståndare,,SBL_only
262,Hemslöjdsinstruktör,,SBL_only
263,Heraldiker,,SBL_only
264,Herrnhutare,,SBL_only
265,Hertig,,SBL_only
266,Hertiginna,3,both
267,Hippolog,,SBL_only
268,Histolog,,SBL_only
269,Historieskrivare,,SBL_only
270,Historiker,,SBL_only
271,Historisk samlare,,SBL_only
272,Holstein-Gottorpskt etatsråd,,SBL_only
273,Homeopat,,SBL_only
274,Hospitalsföreståndare,,SBL_only
275,Hotelldirektör,,SBL_only
276,Hovdam,15,both
277,Hovfröken,,SBL_only
278,Hovkansler,,SBL_only
279,Hovkapellmästare,,SBL_only
280,Hovman,,SBL_only
281,Hovrättspresident,,SBL_only
282,Hovsekreterare,,SBL_only
283,Hovstallmästare,,SBL_only
284,Husdjurskonsulent,,SBL_only
285,Hushållslärare,,SBL_only
286,Hydrograf,,SBL_only
287,Hymnolog,,SBL_only
288,Hållfasthetsforskare,,SBL_only
289,Häradshövding,,SBL_only
290,Hästuppfödare,,SBL_only
291,Högskolelärare,,SBL_only
292,Högskolerektor,,SBL_only
293,Hövitsman,,SBL_only
294,Idé- och lärdomshistoriker,,SBL_only
295,Idrottsledare,,SBL_only
296,Idrottslärare,,SBL_only
297,Iktyolog,,SBL_only
298,Illustratör,7,both
299,Indolog,,SBL_only
300,Industridesigner,,SBL_only
301,Industriidkare,,SBL_only
302,Industriledare,,SBL_only
303,Industriman,,SBL_only
304,Ingenjör,1,both
305,Ingenjörsofficer,,SBL_only
306,Inredningsarkitekt,2,both
307,Instrumentfabrikör,,SBL_only
308,Instrumentmakare,,SBL_only
309,Ishockeyspelare,,SBL_only
310,Jarl,,SBL_only
311,Jazzmusiker,,SBL_only
312,Jesuit,,SBL_only
313,Jordbruksforskare,,SBL_only
314,Jordbrukslärare,,SBL_only
315,Jordbruksminister,,SBL_only
316,Jordbruksreformator,,SBL_only
317,Journalist,57,both
318,Juridisk skriftställare,,SBL_only
319,Jurist,16,both
320,Justitiekansler,,SBL_only
321,Justitieminister,,SBL_only
322,Justitieombudsman,,SBL_only
323,Justitiepresident,,SBL_only
324,Justitiestatsminister,,SBL_only
325,Juvelerare,,SBL_only
326,Jägare,,SBL_only
327,Järnvägsbyggare,,SBL_only
328,Järnvägsingenjör,,SBL_only
329,Järnvägsman,,SBL_only
330,Kalkbruksägare,,SBL_only
331,Kalligraf,,SBL_only
332,Kammarmästare,,SBL_only
333,Kammarråd,,SBL_only
334,Kammarskrivare,,SBL_only
335,Kamrer,,SBL_only
336,Kanalbyggare,,SBL_only
337,Kanongjutare,,SBL_only
338,Kanonkonstruktör,,SBL_only
339,Kansler,,SBL_only
340,Kanslichef,,SBL_only
341,Kanslipresident,,SBL_only
342,Kansliråd,,SBL_only
343,Kanslisekreterare,,SBL_only
344,Kansliskrivare,,SBL_only
345,Kanslist,,SBL_only
346,Kanslitjänsteman,,SBL_only
347,Kapare,,SBL_only
348,Kapellmästare,,SBL_only
349,Karikatyrtecknare,,SBL_only
350,Kartograf,,SBL_only
351,Katolsk konvertit,,SBL_only
352,Kavalleriofficer,,SBL_only
353,Kemiingenjör,,SBL_only
354,Kemist,1,both
355,Kemitekniker,,SBL_only
356,Keramiker,,SBL_only
357,Kirurg,,SBL_only
358,Klarinettist,,SBL_only
359,Klassisk arkeolog,,SBL_only
360,Klassisk filolog,,SBL_only
361,Klockare,,SBL_only
362,Klockstapelbyggare,,SBL_only
363,Klädesfabrikör,,SBL_only
364,Knivsmed,,SBL_only
365,Kokboksförfattare,,SBL_only
366,Kollegiepresident,,SBL_only
367,Kommunalman,,SBL_only
368,Kommunalpolitiker,,SBL_only
369,Kommunikationsminister,,SBL_only
370,Kompanidirektör,,SBL_only
371,Konditor,,SBL_only
372,Konsertföreningsstiftare,,SBL_only
373,Konserthuschef,,SBL_only
374,Konsertsångare,,SBL_only
375,Konservator,4,both
376,Konspiratör,,SBL_only
377,Konst- och antikvitetshandlare,,SBL_only
378,Konst- och teaterkritiker,,SBL_only
379,Konstfilosof,,SBL_only
380,Konstfrämjare,,SBL_only
381,Konstgjutare,,SBL_only
382,Konsthandlare,,SBL_only
383,Konsthantverkare,,SBL_only
384,Konsthistoriker,,SBL_only
385,Konsthögskolegrundare,,SBL_only
386,Konstkritiker,,SBL_only
387,Konstnär,114,both
388,Konstpedagog,,SBL_only
389,Konstsamlare,,SBL_only
390,Konstskolegrundare,,SBL_only
391,Konstvävare,,SBL_only
392,Konståkare,,SBL_only
393,Kooperatör,,SBL_only
394,Kopparstickare,,SBL_only
395,Koreograf,2,both
396,Krigare,,SBL_only
397,Krigsbefäl,,SBL_only
398,Krigskommissarie,,SBL_only
399,Kriminolog,,SBL_only
400,Kritiker,,SBL_only
401,Kronolänsman,,SBL_only
402,Kronprins,,SBL_only
403,Kronprinsessa,,SBL_only
404,Kulturgeograf,,SBL_only
405,Kulturhistoriker,,SBL_only
406,Kung,,SBL_only
407,Kungadotter,,SBL_only
408,Kungamördare,,SBL_only
409,Kungason,,SBL_only
410,Kunglig handsekreterare,,SBL_only
411,Kunglig lektör,,SBL_only
412,Kunglig sekreterare,,SBL_only
413,Kungligt råd,,SBL_only
414,Kvartärgeolog,,SBL_only
415,Kvinnohistoriker,,SBL_only
416,Kvinnorörelsepionjär,,SBL_only
417,Kyrkohistoriker,,SBL_only
418,Kyrkomusiker,,SBL_only
419,Kyrkomålare,,SBL_only
420,Kyrkopolitiker,,SBL_only
421,Kåsör,,SBL_only
422,Källarmästare,,SBL_only
423,Kärnfysiker,,SBL_only
424,Köpman,,SBL_only
425,Kördirigent,,SBL_only
426,Körledare,,SBL_only
427,Lagman,,SBL_only
428,Landshövding,3,both
429,Landskapsmålare,,SBL_only
430,Landstingspolitiker,,SBL_only
431,Lantbrukare,14,both
432,Lantbruksarkitekt,,SBL_only
