,Yrke,Antal,SBL_SKBL
829,Teolog,,SBL_only
830,Textilhistoriker,,SBL_only
831,Textilkonstnär,23,both
832,Tidningsdistributör,,SBL_only
833,Tidningsman,,SBL_only
834,Tidningsredaktör,,SBL_only
835,Tidningstecknare,,SBL_only
836,Tidningsutgivare,,SBL_only
837,Tidskriftsredaktör,28,both
838,Tidskriftsutgivare,,SBL_only
839,Tjuv,,SBL_only
840,Tjänsteman,9,both
841,Tobaksfabrikör,,SBL_only
842,Tolk,1,both
843,Tonsättare,,SBL_only
844,Topograf,,SBL_only
845,Topografisk författare,,SBL_only
846,Trombonist,,SBL_only
847,Tronpretendent,,SBL_only
848,Trumpetare,,SBL_only
849,Trädgårdsarkitekt,3,both
850,Trädgårdshistoriker,,SBL_only
851,Trädgårdsman,,SBL_only
852,Tränare,,SBL_only
853,Träskulptör,,SBL_only
854,Träsnidare,,SBL_only
855,Trävaruhandlare,,SBL_only
856,Tulltjänsteman,,SBL_only
857,Tyngdlyftare,,SBL_only
858,Typograf,1,both
859,Tändsticksfabrikör,,SBL_only
860,Underståthållare,,SBL_only
861,Ungdomsledare,,SBL_only
862,Universitetskansler,,SBL_only
863,Universitetsrektor,,SBL_only
864,Uppbådsledare,,SBL_only
865,Uppfinnare,5,both
866,Upprorsledare,,SBL_only
867,Upptäcktsresande,,SBL_only
868,Urkundsförfalskare,,SBL_only
869,Urkundsutgivare,,SBL_only
870,Urmakare,2,both
871,Utbildningsminister,,SBL_only
872,Utopist,,SBL_only
873,Utrikesminister,,SBL_only
874,Utställningsarkitekt,,SBL_only
875,Utställningsorganisatör,,SBL_only
876,Utvecklingspsykolog,,SBL_only
877,Vapenhistoriker,,SBL_only
878,Vapensmed,,SBL_only
879,Vapentekniker,,SBL_only
880,Vapentillverkare,,SBL_only
881,Varvsägare,,SBL_only
882,Veterinär,,SBL_only
883,Vikingahövding,,SBL_only
884,Vinhandlare,,SBL_only
885,Violinist,,SBL_only
886,Visdiktare,,SBL_only
887,Visforskare,,SBL_only
888,Visitator,,SBL_only
889,Visupptecknare,,SBL_only
890,Väckelseledare,,SBL_only
891,Väckelsepredikant,,SBL_only
892,Väg- och vattenbyggnadsingenjör,,SBL_only
893,Väg- och vattenbyggnadsofficer,,SBL_only
894,Välskrivningslärare,,SBL_only
895,Väveriidkare,,SBL_only
896,Växtbiolog,,SBL_only
897,Växtförädlare,,SBL_only
898,Växtgeograf,,SBL_only
899,Växtpaleontolog,,SBL_only
900,Yrkesinspektris,,SBL_only
901,Zoolog,,SBL_only
902,Åkeriföretagare,,SBL_only
903,Ångtekniker,,SBL_only
904,Ämbetsman,,SBL_only
905,Ärkebiskop,,SBL_only
906,Ärkedjäkne,,SBL_only
907,Äventyrare,,SBL_only
908,Överbefälhavare,,SBL_only
909,Överhovjägmästare,,SBL_only
910,Överintendent,,SBL_only
911,Överlotsdirektör,,SBL_only
912,Överpostdirektör,,SBL_only
913,Överstebefallningsman,,SBL_only
914,Överstemarskalk,,SBL_only
915,Överståthållare,,SBL_only
916,Översättare,59,both
917,Socialt och filantropiskt arbete,66,SKBL_only
918,Kommun- och landstingspolitiker,58,SKBL_only
919,Styrelseledamot,43,SKBL_only
920,Politisk verksamhet,29,SKBL_only
921,Forskare,29,SKBL_only
922,Ledamot,27,SKBL_only
923,Föreståndare,27,SKBL_only
924,Skribent,26,SKBL_only
925,Professor,25,SKBL_only
926,Sakkunnig,25,SKBL_only
927,Chef,23,SKBL_only
928,Skolledare,21,SKBL_only
929,Kyrklig verksamhet,16,SKBL_only
930,Riksdagsledamot,15,SKBL_only
931,Konstnärlig ledare,14,SKBL_only
932,"Sångare, skådespelare",13,SKBL_only
933,Kompositör,12,SKBL_only
934,Kommittéledamot,12,SKBL_only
935,Drottning av Sverige,10,SKBL_only
936,Sekreterare,10,SKBL_only
937,Affärsidkare,9,SKBL_only
938,Hotell- och restaurangarbete,9,SKBL_only
939,Salongsvärdinna,9,SKBL_only
940,Programledare,9,SKBL_only
941,,6,SKBL_only
942,Ansvarig utgivare,6,SKBL_only
943,Verksamhetsgrundare,6,SKBL_only
944,"Styrelseledamot, ordförande",6,SKBL_only
945,Utredare,6,SKBL_only
946,Ordförande,6,SKBL_only
947,Husligt arbete,6,SKBL_only
948,Förlagsanställd,6,SKBL_only
949,Rektor,5,SKBL_only
950,"Producent, radio/TV",5,SKBL_only
951,Sömmerska,5,SKBL_only
952,Inspektor,5,SKBL_only
953,"Skulptör, konstnär",5,SKBL_only
954,Museitjänsteman,5,SKBL_only
955,"Företagare, fabrikör",5,SKBL_only
956,Direktör,5,SKBL_only
957,Utställningsarbete,4,SKBL_only
958,Biståndsarbetare,4,SKBL_only
959,Representativ verksamhet,4,SKBL_only
960,Universitetslektor,4,SKBL_only
961,Inspektör,4,SKBL_only
962,Kontorist,4,SKBL_only
963,Redaktör och förlagschef,4,SKBL_only
964,Gymnastikdirektör,4,SKBL_only
965,Intendent,4,SKBL_only
966,Kassör,4,SKBL_only
967,Producent,4,SKBL_only
968,Konsult,4,SKBL_only
969,Idrottare,3,SKBL_only
970,Drottning av Danmark-Norge-Sverige,3,SKBL_only
971,Ombudsman,3,SKBL_only
972,Lektor,3,SKBL_only
973,Konsulent,3,SKBL_only
974,Verkställande direktör,3,SKBL_only
975,"Arkivbiträde, folkminnesupptecknare",3,SKBL_only
976,Minister,3,SKBL_only
977,Affärskvinna,3,SKBL_only
978,Amanuens,2,SKBL_only
979,Facklig verksamhet,2,SKBL_only
980,Kurator,2,SKBL_only
981,Trädgårdsarbete,2,SKBL_only
982,Handelsanställd,2,SKBL_only
983,Guvernant,2,SKBL_only
984,Textilarbetare,2,SKBL_only
985,Boterska,2,SKBL_only
986,Vice ordförande,2,SKBL_only
987,Botaniker,2,SKBL_only
988,Generalsekreterare,2,SKBL_only
989,Förbundssekreterare,2,SKBL_only
990,Filmcensor,2,SKBL_only
991,Frälsningssoldat,2,SKBL_only
992,Söndagsskollärare,2,SKBL_only
993,Polissyster,2,SKBL_only
994,Läroverksadjunkt,2,SKBL_only
995,Stadsrevisor,2,SKBL_only
996,Barnflicka,2,SKBL_only
997,Psykoterapeut,2,SKBL_only
998,Rallyförare,1,SKBL_only
999,"Hantlangare, dräng",1,SKBL_only
1000,Drottning av Norge,1,SKBL_only
1001,"Journalist, kåsör",1,SKBL_only
1002,Redaktör och utgivare,1,SKBL_only
1003,Spåkvinna,1,SKBL_only
1004,Barndanspedagog,1,SKBL_only
1005,"Författare, översättare",1,SKBL_only
1006,Förmyndare,1,SKBL_only
1007,Bankanställd,1,SKBL_only
1008,Nattklubbsägare,1,SKBL_only
1009,Sjukvårdare,1,SKBL_only
1010,Fabriksarbetare,1,SKBL_only
1011,"Författare, kulturjournalist",1,SKBL_only
1012,Nunna,1,SKBL_only
1013,Sufflör,1,SKBL_only
1014,"Designer, företagsgrundare",1,SKBL_only
1015,Långivare,1,SKBL_only
1016,Kunglig mätress,1,SKBL_only
1017,Jurymedlem,1,SKBL_only
1018,"Föreläsare, journalist",1,SKBL_only
1019,Husmor i ett stort hushåll med mycken representation i Göteborg,1,SKBL_only
1020,Designer,1,SKBL_only
1021,Änkedrottning,1,SKBL_only
1022,Forskarassistent,1,SKBL_only
1023,Bildterapeut,1,SKBL_only
1024,Prefekt,1,SKBL_only
1025,Stipendieinstiftare,1,SKBL_only
1026,Modedirektris,1,SKBL_only
1027,Kolumnist,1,SKBL_only
1028,Städerska,1,SKBL_only
1029,Tobaksarbetare,1,SKBL_only
1030,Skrivbiträde,1,SKBL_only
1031,Informant,1,SKBL_only
1032,Massör,1,SKBL_only
1033,Farmaceut,1,SKBL_only
1034,Slottsfru,1,SKBL_only
1035,Telefonist,1,SKBL_only
1036,Guide,1,SKBL_only
1037,Kommunpolitiker,1,SKBL_only
1038,Folkminnesupptecknare,1,SKBL_only
1039,Volontär,1,SKBL_only
1040,Reseledare,1,SKBL_only
1041,Rättsläkare,1,SKBL_only
1042,Föreläsare och skribent,1,SKBL_only
1043,Kennelägare,1,SKBL_only
1044,"Författare, dramatiker, poet, kulturskribent, bloggare",1,SKBL_only
1045,Brevbärare,1,SKBL_only
1046,Instruktör,1,SKBL_only
1047,Drottning av Sverige och Polen,1,SKBL_only
1048,Konsumentupplysare,1,SKBL_only
1049,Inredningsrådgivare,1,SKBL_only
1050,Reporter,1,SKBL_only
1051,Försäljare,1,SKBL_only
1052,Klostergrundare,1,SKBL_only
1053,Lagerbiträde,1,SKBL_only
1054,Hovkanslist,1,SKBL_only
1055,Fastighetsmäklare,1,SKBL_only
1056,Arbetare,1,SKBL_only
1057,Arkivarie,1,SKBL_only
1058,Hälsorådgivare,1,SKBL_only
1059,Barnträdgårdsledare,1,SKBL_only
1060,Lärare och koreograf,1,SKBL_only
1061,Studieorganisatör,1,SKBL_only
1062,Lotta,1,SKBL_only
1063,Soldat,1,SKBL_only
1064,Drottning av Sverige och Norge,1,SKBL_only
1065,"Författare, illustratör",1,SKBL_only
