,yrke
bergmästare,1
Miltitär,1
Ärkebiskop av Riga,1
Ballerinna,1
Geological collector,1
Hovgrafiker.,1
Hotel proprietor,1
hovintendent,1
ekumenisk patriark av Konstantinopel,1
Expeditionschef i Ecklesiastikdepartementet,1
Natural history collector,1
Norsk socialekonom o. sociolog,1
Initiativtagare till 1:a majblomman,1
Polismästare,1
Redaktionssekreterare (Vecko-Revyn),1
Pope,1
rikskansliråd,1
Överceremonimästare,1
Chefsläkare,1
Adventurer,1
Social critic,1
Mynt- och medaljgravör,1
Builder,1
FN:s generalsekreterare,1
Medaljskulptör,1
King of Portugal,1
Newsagent,1
Idé- och lärdomshistoriker,1
Verse-writer,1
studerande,1
Geological artist,1
Förste intendent,1
E.o professor vid univ. i Strassburg,1
Criminologist,1
Viceroy of India,1
Humanist and poet,1
Vitterhetsidkare,1
Teaterhistoriker,1
Livland,1
Moralist,1
Violinlärare,1
Slottsbyggmästare,1
kung av Norge,1
Xylographer,1
Maskiningenjör,1
filosofie magister,1
Universitetslärare i Berlin,1
Roman Catholic polemicist,1
Förste hovjägmästare,1
Professor i indoeuropeisk språkforskning vid Univ. of Penn. Philadelphia,1
biskop i Linköping,1
Filmforskare,1
East Orange,1
Dottoressa,1
Luzern,1
Calico printer,1
Medical climatologist,1
Överhovstallmästare,1
förste livmedikus,1
Bruxelles-Uccle,1
Registrar,1
Bosättningskonsulent.,1
Explorer in Africa,1
Jägmästare,1
Målarinna,1
Art administrator,1
departementsråd,1
Professor i orkesterdirigering vid Uppsala universitet,1
jur. dr.,1
Utrecht,1
universitetslärare i Köpenhamn.,1
Köpenhamn,1
Programredaktör i Norsk rikskringkasting,1
Promoter of arts and literature,1
konstnär.,1
Skriftställare (pseudonym för John Jönsson),1
Landshövding i Halland.,1
Scenograf,1
Shipping merchant,1
överlots,1
Clock-and-watch maker,1
förste hovmarskalk,1
Myntdirektör,1
Konstnär och tecknare,1
parapsykolog,1
Samhällsdebattör,1
univ.lärare i Atén,1
polismästare,1
VD för Nobelstiftelsen,1
Reproduktionstekniker,1
Amanuens vid Lunds observatorium,1
tekn. dr h.c.,1
professor i Stockholm,1
museuminspektör,1
Hertiginna av Västergötland,1
teaterregissör,1
univ.lärare i Oslo,1
Inoculator,1
museilektor,1
Social theorist,1
Herpetologist,1
kvinnosakskämpe,1
Samepolitiker,1
univ.lärare i Heidelberg,1
Medical psychologist,1
filantropist,1
Silk-weaver,1
Deputy speaker,1
lärare vid École cantonale,1
schackspelare,1
Museiintendent,1
Folkskolinspektör,1
debattör,1
svensk-amerikansk konstnär,1
Political agent,1
Borgmästarinna,1
Hunter,1
Arvprins,1
Principal of St Andrews,1
Sinolog,1
Datalog,1
Nationalrat,1
Helsingfors,1
LittD,1
geokemist,1
Sthlms Lucia 1941,1
Silversmed,1
archaeologist,1
odont dr,1
Geografi,1
Immunolog,1
minerals and shells,1
Monsignor,1
Civilian,1
fartygskonstruktör,1
Baletthistoriker,1
Dansk läroverkslärare,1
Provincialläkare,1
banktjänsteman,1
cirkusdirektör,1
Inspettore,1
Duke of Burgundy and Lord of the Netherlands,1
kommissionslantmätare,1
Wine merchant,1
Arabist,1
Musiker och kompositör,1
Fysiolog,1
teaterproducent.,1
musikforskare,1
stadsdirektör,1
Pro-vivisection campaigner,1
Kristinehamn,1
Bitr. professor,1
Occultist,1
Pisciculturist,1
Textile merchant,1
Författare och redaktör,1
fil dr.,1
Keeper,1
Godsherre,1
skivsamlare,1
italiensk pacifist,1
forntidsforskare,1
Sceninstruktör,1
Public health officer,1
Expert på klassisk konst,1
porträttfotograf,1
Dean of Norwich,1
Litteratur- teater- och konstkritiker,1
Fransk politiker,1
Lektor i Linköping,1
Wien,1
Anti-vivisectionist,1
skriftställarinna,1
Visdiktare,1
kapare,1
sjukhusdirektör,1
Compiler of reference works,1
kompositör och författare,1
viceregent,1
Modedesigner,1
Markis,1
biometeorolog,1
palynolog,1
Recluse,1
ingenjör?,1
scoutchef,1
Master of the Horse,1
Elector,1
Topograf,1
Prince del Drago,1
Förste byråsekreterare,1
mfl,1
Chief forestry supervisor,1
Professor i processrätt.,1
tidningsredaktör,1
Lantbruksekonom,1
tullförvaltare,1
Stadsläkare,1
missionsföreståndare,1
regeringsråd,1
Dr. phil,1
commendatore,1
Urmakare,1
Phycologist,1
Prince,1
teol. dr.,1
Policeman,1
skulptör och porträttmålare,1
filosofie hedersdoktor,1
Intendent vid Kungliga museet,1
Director of laboratory,1
Gynekolog,1
Operettsångerska,1
Rasbiolog,1
Tidningsutgivare,1
Biskop i Alba,1
Science demonstrator,1
akademiledamot,1
Singer Singer,1
Fabrikant,1
Kommersråd,1
Friend of Robert Burns,1
Slavery abolitionist,1
Rocket designer,1
folkemindeforsker,1
Universitetslärare i Leipzig,1
Vicekansler vid universitetet i Köln,1
Museuminspektör,1
prokurator,1
Swedish-Norwegian vice consul in Smyrna 1856-1887; consul 1887-1895,1
professor i hälsovård,1
xylograf,1
Universitetslärare i München,1
kulturjournalist,1
univ.lärare i Riga,1
Doktor,1
Palaeoanthropologist,1
Generalmajor och chef för Södra skånska infanteriregementet,1
professor vid handelshögskolorna i München,1
inrikesminister,1
Anglo-Jewish community leader,1
Diplomat och poet.,1
Stenographer,1
teaterdekoratör,1
Member of the Rigsråd,1
Generalpostdirektör,1
Garter King-of-Arms,1
Dekan,1
Hebraist,1
Misogynist,1
Radiolog,1
Archdeacon of Oxford,1
Lunds stift,1
Univ.lärare i Groningen,1
Författare och samhällsdebattör.,1
DHS,1
bruksidkare,1
Instrumentalist,1
bergsrådinna,1
Baptistpredikant,1
Astrophysicist,1
Berlin och slutl. i London,1
Director of fisheries,1
Lund,1
universitetsrektor,1
Stortingsbibliotekarie,1
Halmstad,1
Limnolog,1
d'Expansion et d*Exchanges artistiques,1
kyrkoman,1
East India Co. chaplain,1
Co-operator,1
försäkringstjänsteman,1
Nonconformist writer,1
Exhibition organizer,1
Läkare och politiker,1
Kung av Belgien,1
Historie- och porträttmålare,1
Gitarrist,1
Master of Balliol College,1
sjukvårdsdirektör,1
Pamphleteer,1
Italiensk-fransk konstnär,1
Docent i litteraturhistoria,1
Minister of Naval Affairs,1
freds- och konfliktforskare,1
Landsantikvarie,1
Präst för döva/dövstumma,1
prorektor,1
grammatiker,1
Campaigner against the lunacy laws,1
statskonsulent,1
textilkonstnärinna,1
Classical historian,1
professor vid Konstakademien från 1873,1
Comic writer,1
Kardinal inom katolska kyrkan,1
fabrikssyster,1
Bruksinspektor,1
Tjänsteman,1
Savings bank manager,1
Conductor,1
Lithologist,1
Writer on printing,1
Manusförfattare,1
Surgical appliance maker,1
Queen,1
riksmarskalk,1
hovtraktör,1
spion,1
personhistoriker,1
Landshövdingen,1
Univ.-lärare,1
kyrkoherde i S:t Peters kloster,1
nykterhetsman,1
bagarmästare,1
dott,1
Textile manufacturer,1
Archduke of Austria and Sovereign of the Netherlands,1
professor vid univ. i Berlin,1
filmkritiker,1
klassisk filolog,1
Tenngjuterifabrikant,1
Flickskolföreståndarinna,1
Holländsk skulptör,1
telegrafist,1
County squire,1
Gynaecological surgeon,1
polyhistor,1
förste legationssekretarare,1
Professor of Research Policy and cultural attaché at the Swedish Embassy in Beijing,1
Palaeobotanist,1
Stadsträdgårdsmästare,1
Danskritiker,1
Ciselör,1
jur,1
bokkonstnär,1
Regierungsrat,1
Manufakturist,1
såsom vågar,1
Mezzo-soprano,1
hembygdsforskare,1
Kapare,1
stortingsrepresentant,1
Professor vid univ. i Berlin,1
dispaschör,1
Professor i Antikens kultur och samhällsliv.,1
dansk astronom,1
Handelsman,1
King of Castille,1
överhovmästarinna,1
College administrator,1
antikforskare,1
Ass. director,1
filosofihistoriker,1
Writer on philosophy,1
Retoriker,1
Överhovjägmästare,1
museidirektör,1
etruskolog,1
Tidningsman.,1
Abbot i Spanheim,1
Examiner of plays,1
byrådirektör i Kungl. socialstyrelsen,1
mystiker,1
slavist,1
Borgmästare i Skänninge,1
Bailiff,1
Krigare,1
Filosofie doktor i tysk språkvetenskap,1
Cartoonist,1
belgisk konstnär,1
socialantropolog,1
Förenta nationernas generalsekreterare,1
juridisk rådgivare,1
Factory inspector,1
recitatris,1
anatom,1
diplomat och politiker,1
Latin scholar,1
teaterdekorationsmålare,1
Lord of the Netherlands,1
Numismat,1
kabinettssekreterare,1
dekoratör,1
överhovpredikant,1
Chief justice of the U.S. supreme court,1
Prison administrator,1
industrichef,1
Editorial superintendent,1
helgon,1
Psykiatriker,1
Sexologist,1
Prelat,1
hovdam,1
Eugenicist,1
Newspaper proprietor,1
Master draughtsman,1
Biblioteksman och litteraturkritiker.,1
impressario,1
föreläsare,1
Cembalist,1
Penal reformer,1
Phytogeographer,1
Broadcaster,1
v häradshövding,1
musiklärarinna,1
Journal founder,1
Konst- och litteraturpsykolog,1
Rabbin,1
Comic singer,1
Pjäsförfattare,1
DLitt,1
Topographical printer,1
Patent agent,1
Kärnfysiker,1
Universitetssekr.,1
professor vid univ. i Helsingfors,1
Typograf,1
direttore dei musei,1
Eidsvollsmann,1
Enthusiast,1
Verkställande direktör,1
Health campaigner,1
partiledare,1
överceremonimästare,1
Sjökapten,1
Överlärare i Göteborg,1
föreståndare för Nietzsche-arkivet i Weimar,1
Zoo superintendent,1
Nationalbankdirektör,1
Uppsyningsman vid Landbohojskolen,1
Grafisk formgivare,1
gatudirektör,1
Nederländska Ostindiens generalguvernör,1
landskapsmålare,1
Plåtslagare,1
Professor i iransk filologi i Leningrad,1
Professor of art emiritus,1
Patolog,1
mariningenjör,1
i Prag,1
Husmor,1
Vetenskapsman,1
Träsnidare,1
Antiquarian artist,1
professor.,1
landsbibliotekarie,1
Aktuarie,1
Legationssekreterare,1
revyman,1
Cattle breeder,1
Amanuens,1
Ornamentsbildhuggare,1
Kanslisekreterare,1
Hushållerska,1
Distiller,1
Landshövding i Västerbottens län,1
Postsparbankschef,1
folkskolelärare,1
teaterförläggare,1
Perfumer,1
Socialdemokrat,1
stadsfogde,1
Social activist,1
heraldiker,1
Eng. arbetarledare,1
Nationalist,1
Musical historian,1
Music scholar,1
Ombudsman,1
miljövårdare,1
Baron of the Exchequer,1
assessor,1
fil. kand,1
Urkundsutgivare,1
King of Qin,1
lyriker,1
Assessor i bergskollegium,1
teaterman,1
Kassör,1
Schweiz Gewerkschaftsbund,1
syndikalist,1
Literary adviser,1
fältherre,1
Medical reformer,1
petrograf,1
Bread manufacturer,1
Pastrycook,1
författare och konstnär,1
revy- och teaterforskare,1
Lord High Treasurer,1
byråarkitekt,1
växtpatolog,1
Technical editor,1
Klassisk arkeolog,1
Parliamentary draftsman,1
geotekniker,1
inredningsarkitekt,1
Dean of Westminster,1
limnolog,1
levnadstecknare,1
Lord advocate,1
Anglicist,1
Executor,1
Fransk naturforskare,1
biblioteksråd,1
spiritist,1
County court judge,1
Litteraturvetare och -kritiker.,1
Heraldiker,1
Insurance man,1
Neurobiolog,1
radiofysiker,1
myntdirektör,1
Språkforskare i Trondheim,1
Pensionaris,1
Fältmarskalken,1
evolutionsbiolog,1
Legal philosopher,1
Lunds universitet,1
Landtmätare,1
librarian at the Uppsala university library.  Son of Lars Arrhenius,1
Pottery manufacturer,1
Klassicist,1
teckningslärarinna,1
universitetslärare i Oslo,1
Music director,1
Herpetolog,1
förlagsredaktör och folkbildare,1
Manufacturer of patent medicines,1
handsekreterare hos kung Gustav VI Adolf.,1
chefsredaktör,1
New York,1
Director of the State Life Assurance Institute,1
Antikvarie vid Vitterhetsakademien,1
Bergsman,1
Ärftlighetsforskare,1
Bibliotekschef vid British museum,1
Neuropsychiatrist,1
Advocate-General,1
Hornist,1
slottsbibliotekarie,1
portvakt,1
Livländsk arkivman,1
Kanslist,1
Ottoman sultan,1
Missionärsledare,1
State Prosecutor,1
Writer on typography,1
professor i historia vid Lunds universitet,1
Professor i litteraturhistoria,1
dekoratiosmålare,1
Military engineer,1
pastorsadjunkt,1
Bryolog,1
Timmerhandlare,1
Läroverksrektor,1
myntgravör,1
Religionsfilosof,1
operasångreska,1
med dr,1
Sekreterare vid Nationaltheatret,1
Linnéforskare,1
Lantgreve,1
Vicar (dean),1
Chief bailiff,1
Förste intendent på Malmö museum,1
Royalist author,1
senare i Göttingen,1
Prison reformer,1
Director musices vid Uppsala universitet,1
universitetslärare i Bern,1
Pianolärare,1
The pierpont Morgan Library,1
chairman,1
Konstskriftställare,1
Map publisher,1
Konstskribent,1
förste intendent,1
Förste antikvarie,1
företagare,1
Inspector-general of army hospitals,1
Svensk-japansk företagsledare,1
Balettkritiker,1
rikshemvärnschef,1
Ämbetsman och författare,1
rysk tsar,1
Leader writer,1
Public health administraor,1
Heiress,1
Chemical manufacturer,1
Banktjänsteman,1
Klockgutare i Jönköping. Rådman.,1
Photographic entrepreneur,1
Livmedikus,1
prästbiograf,1
Professor i Zürich,1
filatelist,1
skeppsbyggmästare,1
Emperor of China,1
Hypnotherapist,1
Equerry-in-waiting,1
Medical services director general,1
skolkökspionjär,1
Stadssekreterare,1
Folkbildare,1
latinist,1
Ämbetsman och skriftställare,1
socialattaché,1
professor i diagnostisk radiologi vid Lunds universitet.,1
riksstallmästare,1
Påve,1
Bibliotekarie vid Universitetsbiblioteket i Lund,1
Globe maker,1
jur. dr h.c.,1
Luthersk teolog,1
Litteraturhistoriker.,1
univ.lärare i Königsberg,1
Libraries agitator,1
Student,1
Hippolog,1
Conveyancer,1
Kyrkoherde och prost i Rystad,1
biskop i Göteborgs stift,1
Marskalk,1
Polisman,1
Programchef,1
publicist/tidningsman,1
rysk ämbetsman,1
Guldsmed,1
lärare vid Institut für ostdeutsche Wirtschaft,1
företagsekonom,1
Trädgårdsdirektör,1
iktyolog,1
Dr Phil,1
Polyhistor,1
hovbokbindare,1
Ekonomhistoriker,1
Merchant banker,1
kommunfullmäktiges ordförande,1
professor vid univ. i München,1
Länsarkitekt,1
Konst- och kulturforskare,1
Univ.lärare i Helsingfors,1
skolkökslärarinna,1
Dean of Peterborough,1
Etnograf,1
kung av Sverige,1
Pastor,1
Äventyrare,1
börschef,1
Friidrottare,1
Pastor primarius,1
HM Konungens förste hovmarskalk (Gustaf VI Adolf),1
Fylkesman,1
rektor vid Ystads  h a l,1
biblioteksman i Wien,1
Drottning av Belgien,1
Foreign Office,1
Dean of Llandaff,1
utrikesråd,1
Hairdresser,1
Naval surveyor,1
Urolog,1
Whig grandee,1
kanslichef,1
lantbrukare i Hög,1
Carpenter,1
Doge,1
muesiman,1
auditör,1
Programdirektör i Sveriges radio,1
Textilkonstnärinna,1
kammarjunkare,1
neuropsykiatriker,1
HM Drottningens kammarherre (Victoria),1
Förskolelärare,1
Bergmästare,1
professor i anatomi,1
medgrundare till Svenska filmsamfundet,1
fiskeriinspektör,1
advokatfiskal,1
teaterpedagog,1
Electrochemist,1
Övermekaniker vid kanalbolaget,1
spelman,1
dr.phil.,1
direktör på Oslo Kinematografer,1
Mass.,1
Riksbanksfullmäktige,1
Independent minister,1
kulturgeograf,1
Medical inspector of schools,1
Filosof och författare,1
Historisk författare,1
balettmästare,1
Rheumatologist,1
Underståthållare,1
Hospital founder,1
Bryggare,1
Poisoner,1
socialarbetare,1
Economic improver,1
Lagman och president i Göta hovrätt,1
Runforskare,1
Porftrait painter,1
Skulptris,1
Hovkansler,1
professor vid l'Université nouvelle i Bruxelles o. vid Collège libre des sciences sociales,1
forstmästare,1
King of Spain and the last ruler of the Habsburg empire,1
Historiemålare,1
Massmedieforskare,1
major.,1
regementspastor,1
Sjuksköterska,1
kontorschef,1
Dispensationalist,1
naturalhistoriker,1
Metallurgical chemist,1
Teolog och filosof,1
Homoeopath,1
Writer on education,1
Målarmästare,1
Evolutionary theorist,1
Dialektforskare,1
Författare och dramatiker,1
Fiskeribiolog,1
förlagsfirma i Berlin.,1
ordförande för människorättsorganisationen LTDH,1
teoretiker,1
kulturattaché,1
marinkemist,1
Promoter of sanitary science,1
socialistisk agitator,1
länsjägmästare,1
Byggmästare,1
Univ.lärare i Oxford,1
Singing master,1
Exegete,1
universitetslärare i Kiel,1
samhällsdebattör,1
Ryssland,1
Cambridge,1
Tenngjutare,1
presskommissarie,1
Headmaster of Eton,1
Riksdagspresident,1
lanthushållare,1
literary historian,1
chefsbibliotekarie,1
Fine-art publisher,1
Nationalskald,1
Förlagschef på Norstedts & söner.,1
Self-proclaimed philosopher,1
Rev,1
marskalk,1
Dietician,1
flygplatschef,1
antikforskare och föreståndare för Svenska institutet i Athen,1
kulturantropolog,1
Arctic yachtsman,1
Metallurg,1
målarinna,1
1964-1967,1
barnboksforskare,1
Historian of photography,1
Common serjeant,1
kanslist,1
Akvarellmålare,1
Director of assurance company,1
påve,1
President of Harvard,1
neuroforskare,1
litteratur- och teaterkritiker,1
Dr jur,1
Army physician,1
Engelsk författare,1
Överättare,1
1: bibliotekarie,1
Systemvetare,1
Partisekr.,1
Colonial railway director,1
Föreståndarinna,1
paleobotaniker,1
Metropolitian Museum of Art,1
Textual scholar,1
Convict,1
Frankrikes ambassadör i Rom och Konstantinopel; envoyé i Stockholm 1862-1872.,1
Professor i teologi,1
Dr rer pol,1
konrektor,1
Stadsingenjör,1
socialistisk filosof.,1
Stadsantikvarie,1
Political radical,1
dekorationsmålare,1
professor i medicin,1
Orientalist och professor,1
folkskollärarinna,1
Haematologist,1
programråd,1
Fabriksidkare,1
univ. lärare i Leipzig,1
kusk,1
Språkforskare i Bergen,1
Natural history dealer,1
Minister i Finland,1
pomolog,1
privatlärare,1
förste kammarskrivare,1
Schoolteacher,1
Amateur naturalist,1
Director of National Portrait Gallery,1
finländsk konstnär,1
bibliotekskonsulent,1
Tenant in tail,1
Folklivsforskare,1
Writer on botany,1
Seminarielärare,1
komiker,1
Professor at Lund university,1
clown,1
Knivsmed,1
professor vid Konstakademien i Stockholm.,1
Tenor,1
tandläkare,1
Amateur artist,1
apologet,1
anställd på Hufvudstadsbladet,1
Professor vid univ. i Halle,1
häradshövding,1
skådespelerska arkeolog,1
föreståndare för Göteborgs Arbetareinstitut,1
Chargé d'affaires,1
Industrichef,1
Sanitary reformer,1
Hemmansägare,1
Marine biologist,1
Ecclesiologist,1
Kyrkoherde i Fjälie,1
Army and intelligence officer,1
Promoter of science in Australia,1
historiograf,1
Collector of natural history specimens,1
Scenchef,1
Stained-glass artist,1
friidrottare,1
Mikrobiolog,1
senator,1
Anti-emancipationist,1
Lokförare,1
universitetslärare i Berlin,1
Fransk teolog och filosof; biskop i Lisieux från 1377,1
Racing patron,1
Telephone operator,1
Fire eater,1
militant anarkist,1
Författare och journalist,1
rättslärd,1
ärftlighetsforskare,1
teol prof,1
Polsk-Amerikansk pianist,1
fängelsedirektör,1
Tea and coffee merchant,1
Överrabin,1
Riksantikvarie,1
fil. Hedersdoktor,1
pjäsförfattare,1
utg. av Esaias Tegnérs brev,1
Bibliotekarie och litteraturhistoriker (psalmdiktning),1
Medical scientist,1
essayist,1
direktör i Ullstein & co.,1
jur. dr. h. c.,1
justitieminister,1
Lord High Steward,1
musikhandlare,1
Hovläkare,1
Sångförfattare,1
Gruvingenjör,1
skollärare,1
geheime regeringsråd,1
Orkesterledare,1
Grafisk formgivare och målare.,1
litterär sekreterare,1
Fysisker,1
Fornvårdare,1
High sheriff,1
Gåfvetorp,1
Spiritualist medium,1
yrkesinspektör,1
hovlakej,1
Medical inspector,1
trädgårdsmästare,1
klassiker,1
Assessor i Kommerskollegium,1
Tysk publicist,1
Rikshistoriograf,1
Univ.lärare vid Berkley Univ. of Carlif.,1
assistent vid Sorbonne,1
Sports writer,1
jesuitisk präst,1
Moralist och litteraturteoretiker,1
Kommunalordförande,1
arkivråd,1
Annonstecknare,1
Kameralist,1
Hovrättspresident,1
Chambermaid,1
Medaljmakare,1
med. lic.,1
stadsskrivare,1
kommerseråd,1
Foreign secretary of the Post Office,1
förlagsanställd,1
antikvitetshandlare,1
Shakespeare critic,1
egyptolog,1
Folkhögskolerektor,1
Satirist,1
Glaciolog,1
Association Francaise,1
Inspector of Ancient Monuments ...,1
brother of Jacob Arrhenius.,1
handelslärare,1
U.S.A.,1
och lagman,1
Professor i klassiska studier,1
kansler,1
Excavator,1
Commissioner of the Copenhagen Police,1
Kammarherre,1
Alderman,1
Mrs,1
Prison governor,1
Political pamphleteer,1
Litteraturhistoriker och estetiker,1
Advocate of the Supreme Court,1
Railway director,1
Chancellor,1
privatdocent,1
Gymnastikpedagog,1
fiskeriintendent,1
Plaintiff in disputed marriage,1
direktör i AB D. Carnegie & co,1
Lärare vid Alnarps lantbruksinstitut.,1
trollkonstnär,1
mekaniker,1
Rektor i Heidelberg,1
Stadsfogde,1
Royal matriarch,1
Professor i litteraturhistoria.,1
Historian of music,1
politician,1
Domkyrkosyssloman,1
riksfinansminister,1
Fängelsedirektör,1
Faith-healer,1
Nautical surveyor,1
Riksarkivarie,1
museibiträde,1
Kammarjunkare,1
sånglärare,1
docent i statistik,1
Föreståndarinna Samariterhemmet,1
recensent,1
Sendemann,1
Steel manufacturer,1
Jordbruksforskare,1
Benefactor,1
Ovariotomist,1
Amateur photographer,1
Brain surgeon,1
Lantmäteriaskultant,1
hemmansägare,1
Disponent,1
hundexpert,1
Magazine editor,1
Isländsk filolog,1
Precious stones collector,1
förste stadsläkare,1
slottspredikant,1
Kemist och metallurg,1
King of Naples and Sicily,1
Författare och översättare,1
Simmare,1
Jurist och direktör,1
försäkringsdirektör,1
Spion,1
ballongflygare,1
vice-provst,1
oberst,1
rysk filolog,1
tullöverkontrollör,1
slöjdlärare,1
Byrådirektör,1
ordförande i Teaterrådet,1
översättare.,1
Balettdansare,1
attaché,1
bibliotekschef,1
legationspredikant,1
Ärkebiskop av Canterbury,1
förste ombudsman,1
Marquis di Riofreddo,1
arkivchef,1
Collector of musical instruments,1
Rektor för Lunds universitet 1977-1980,1
cand phil.,1
sjöman,1
Förste stadsläkare,1
Oberkonsistorialrat,1
Verkmästare,1
lyrikuppläsare,1
professor of the History of Art at University College London,1
Dispaschör,1
Fisheries expert,1
Privatlärd,1
stabsryttmästare,1
överrabbin,1
Manager,1
Lord chancellor of Ireland,1
träpatron,1
kyrkokonservator,1
Muckraker,1
jur dr,1
Telescope builder,1
Fil dr.,1
Trustee,1
Serviceman,1
Protoierej,1
Dancer,1
Biblioteksamanuens,1
Kejsare av Japan,1
Professor i Klassiska studier.,1
barnavårdsinspektör,1
Schackmästare,1
Society hostess,1
Secretary of the Treasury,1
hebraist,1
Professor i botanik och praktisk ekonomi,1
Fondmäklare,1
Literary entrepreneur,1
försäljningschef,1
Kyrkohede,1
Ståletsare,1
Civlingenjör,1
Petrographer,1
polis,1
Wit,1
Kammarsångerska,1
Pressfotograf,1
Songwriter,1
Egyptolog.,1
Rural dean,1
Hövding,1
Doct ès lettres,1
Juvelerare,1
fideikommissarie,1
Dissenting minister,1
Förstekonservator,1
redaktör för Falu Kuriren 1933-50.,1
Chief engraver to the Mint,1
Bokhistoriker,1
Counsellor,1
Trädgårdsarkitekt,1
Ordboksredaktör,1
Nervläkare,1
Museum direktör,1
handbollsspelare,1
Lektor och författare.,1
Dealer in fossils,1
professor i Perm,1
City engineer,1
professor i latinska språket och litteraturen vid Uppsala universitet,1
Helsingfors.,1
järnvägsbyggare,1
kvinnohistoriker,1
Commissioner of the Customs,1
Akademifogde,1
barnboksförfattare,1
Tysk dr. phil,1
Patriot,1
krigshistoriker,1
konstexpert,1
University beadle,1
folksskollärare,1
Writer on prophecy,1
Rabbi,1
stadsarkivarie,1
Teacher for the deaf and mentally handicapped,1
LO-ordf.,1
Litteratur- och religionshistoriker,1
jordbruksforskare,1
Gymnastiklärare,1
Överintendent och chef för hovförvaltningen.,1
rådsherre,1
Studierektor vid ABF,1
Lingvist. Universitetslärare i Bryssel.,1
Stud. med.,1
kung av Danmark,1
Saami missionary,1
Dean of Westminster and Wells,1
Cooper,1
generalsekreterare i Deutsch-Irische Gesellschaft,1
Hembygdsvårdare,1
Teratologist,1
järnvägskamrer,1
Collaborator,1
Univ. lärare,1
Logiker,1
professor vid univ. i Kiel,1
Snickarmästare,1
Författare och professor i franska,1
skulptris,1
legationssekreterare,1
epigrafiker,1
HKH Kronprinsens adjutant (Gustaf Adolf),1
landstingsman,1
lärare vid sjökrigsskolan,1
Tsar,1
Överståthållare,1
kyrkoherde i Helsingborg,1
Florens,1
fiskeriexpert,1
förste kanslist,1
Professor i lingvistik,1
konsistorialpresident,1
presschef hos tyske rikskanslern,1
Lic ès lettres,1
Sjöofficer och professor i matematik,1
Sekreterare i Kanslikollegium,1
Estate commissioner,1
generalsekreterare för Tunisiens fackliga centralorganisation,1
Campaigner for women's rights,1
tysk-amerikansk astronom,1
Övermyntmästare,1
Frälsningssoldat,1
Hovmarskalk,1
Ornamentsstickare,1
vicerektor,1
Akademiritmästare i Lund,1
Scientific bibliographer,1
Biskop i Lunds stift 1638-1679,1
patolog,1
Military physician,1
mictrographie,1
Social worker,1
Dean of Christ Church Oxford,1
Zionist,1
lexikograf,1
Dansk författare och museiintendent.,1
Timber merchant,1
folkskolelärarinna,1
konsul i Stockholm,1
biblioteksassistent,1
Circumnavigator,1
Greek philologist,1
Anthropometrist,1
socialråd,1
Lärare i franska vid Gbgs högskola,1
Pastellist,1
librairie,1
Banvakt,1
president,1
geheimeråd,1
Roma,1
1:e bibliotekarie,1
Naturopath,1
munk,1
Inspector of mines (bergmästare),1
Handlande,1
jazzmusiker,1
Prima donna,1
Master of the Royal Hunt,1
skomakare,1
ordförande i Kvinnliga akademikers förening,1
Filmregissör,1
Textilhistoriker,1
Riksmarsk,1
Wool merchant,1
Druggist,1
Kritiker och dramatiker,1
Lustspelsförfattare,1
skogsmarkforskare,1
socialdemokratisk politiker,1
Animal painter,1
Prior,1
Författare och litteraturkritiker.,1
Town clerk,1
Polemist,1
Philosopher of science,1
Petrologist,1
Writer of school books,1
Filantro,1
univ.lärare i New York,1
Histoire naturelle,1
Exhibitor,1
Konstkritiker och författare,1
Hotelier,1
Music editor,1
Regementsläkare,1
kammarråd,1
Oberschulrat,1
førstebibliotekarie,1
univ-lärare i Giessen,1
Master of the mint,1
IT-chef,1
Präst i Svenska kyrkan; domprost i Linköping,1
ståletsare,1
"professor vid Instituto di scienze sociali "" Cesare Alfieri""",1
Medeltidshistoriker,1
kanslisekreterare,1
arbetsförmedlingsdirektör,1
Slöjdlärarinna,1
Väg- och vattenbyggnadsingenjör,1
antikvariatsbokhandlare,1
förbundsjurist,1
Akvarellist,1
Domkyrkoorganist i Linköping,1
Dansk språkforskare,1
bankofullmäktige,1
kyrkoman och riksdagsman.,1
överdir. i statist. centralbyrån,1
Spelman,1
Förlagsredaktör och skald,1
fortifikationsofficer,1
Reproduktionsgravör,1
finansman,1
Locksmith,1
Marine zoologist,1
Thief,1
Fur trader,1
Sånglärare,1
Kontorschef,1
Horticultural writer,1
Hospital inspector,1
Aeronautical designer,1
Mpönsterriterska,1
Stage manager,1
Dr ph,1
Arkeolog.,1
Coptic scholar,1
gen.priorinna för ursulinerkongregationen,1
Asylum superintendent,1
kvinnosakspolitiker,1
Nobleman,1
Norsk författare,1
översättarinna,1
Telegraph entrepreneur,1
ålderman,1
Palm-reader,1
Kristiania,1
Dean,1
assyriolog,1
överlärare,1
med. dr h.c.,1
dr ing,1
litteraturforskare,1
jordbrukskooperatör,1
Hop merchant,1
Vaccinator,1
professor i Göteborg,1
förste hovtandläkare,1
Flygpionjär,1
Professor i privat- och finansrätt.,1
Skomakare i Hälsingborg,1
Forstmand,1
Ångbåtskommisionär,1
socialinspektör,1
Ornitolog,1
sceninspektör,1
Medievist,1
Colonial official,1
Operatic manager,1
Justitiestatsminister,1
fil.hedersdoktor,1
justeringskontrollör,1
Hövding och författare,1
museiperson,1
Porträttgravör,1
