,yrke
Jesuit,9
Medaljkonstnär,9
Surveyor,9
marinbiolog,9
Astronom,9
Göteborg,9
Folkskollärare,9
Lecturer,9
bankdirektör,9
Riksråd,9
Musiklärare,9
Pedagog,9
museiintendent,9
Balneotherapist,9
vissångare,9
skald,9
Cardiologist,9
Cartographer,9
överste,8
Tuberculosis specialist,8
Gardener,8
Riksdagsledamot,8
Phrenologist,8
kapten,8
Litteraturvetare,8
Principal,8
Literary scholar,8
Skeppsredare,8
fil. dr h.c.,8
Critic,8
Fil. dr.,8
violinist,8
Sheriff,8
organist,8
Ekonom,8
minister,8
med dr,8
huvudredaktör,8
Colonial administrator,8
operasångerska,8
Hellenist,8
Literary critic,8
Riksdagsman,8
Kyrkohistoriker,8
fil lic,8
Kyrkoman,8
Ophthalmic surgeon,8
Literary editor,8
generaldirektör,8
Illustratör,8
Man of science,8
kapellmästare,8
Venereologist,8
Horticulturist,8
Lexicographer,8
Printmaker,8
biblioteksman,8
illustratör,7
Malacologist,7
Physical anthropologist,7
Docent,7
Envoyé,7
Polymath,7
Personhistoriker,7
Legal writer,7
Astrologer,7
Seaman,7
major,7
hydrograf,7
Musikdirektör,7
riksantikvarie,7
Stockholm,7
Läroverkslärare,7
University administrator,7
Congregational minister,7
Statsvetare,7
Unitarian minister,7
lutsångare,7
Businessman,7
Justitieråd,7
läroverksadjunkt,7
Kung,7
konstkritiker,7
förläggare,7
överstelöjtnant,7
teol dr,7
Technologist,7
justitieråd,7
psykolog,7
Museum director,7
generalmajor,7
Dirigent,7
fil.dr.,7
konsul,7
Tryckare,7
Sinologist,7
Director,7
Marshal,7
Historiographer,7
Chefredaktör,7
folkskoleinspektör,7
domprost,7
konsthandlare,7
Manufacturer,7
Herald,6
Cricketer,6
Statistiker,6
dramatiker,6
Generallöjtnant,6
missionär,6
radioman,6
Brewer,6
Konsthandlare,6
Lantbrukare,6
Librettist,6
Land surveyor,6
kommunalpolitiker,6
Gymnasielärare,6
grevinna,6
Bankdirektör,6
Domprost,6
Palaeographer,6
Ichtyologist,6
Scandinavian philologist,6
Köpman,6
Captain,6
University teacher,6
officer,6
Oslo,6
Nobelpristagare,6
Överstelöjtnant,6
fil. dr. h. c.,6
jur kand,6
Major,6
Illustrator,6
Mystic,6
Justerare,6
sociolog,6
musiklärare,6
utrikesminister,6
Alchemist,6
Navigator,6
orientalist,6
Landed proprietor,6
Predikant,6
Bankir,6
litteraturvetare,6
språkman,6
Berlin,6
Chamberlain,6
Religionshistoriker,6
gymnastikdirektör,5
schlagertextförfattare,5
diktare,5
Assyriologist,5
antikvarie,5
dottore,5
Electrician,5
Genealog,5
musikskriftställare,5
Lexikograf,5
jur kand,5
Med dr,5
boktryckare,5
Naturforskare,5
Kommunalpolitiker,5
guvernör,5
musikpedagog,5
entomolog,5
Hovman,5
humanist,5
Administrator in India,5
Teaterdirektör,5
disponent,5
teol. dr. h. c.,5
pastor,5
Clerk,5
lingvist,5
köpman,5
Auctioneer,5
Educator,5
etnograf,5
Typographer,5
Phonetician,5
Sekreterare,5
Museidirektör,5
Ambassadör,5
Inspector,5
Genetiker,5
Sociolog,5
Agricultural chemist,5
visdiktare,5
Medaljör,5
Actress,5
Abbot,5
etnolog,5
Factory owner,5
Polar explorer,5
skeppsredare,5
medicinare,5
Germanist,5
byråchef,5
överintendent,5
Physiotherapist,5
Entomolog,5
Jur kand,5
teckningslärare,5
Antikforskare,5
Art dealer,5
Sångerska,5
Revolutionary,5
Industriidkare,5
Colonel,5
Tradesman,5
Soldier,5
borgarråd,5
Mycologist,5
Historian of science,5
Archbishop of Canterbury,5
sekreterare,5
ärkebiskop,5
brukspatron,5
Lärarinna,5
Rector,5
Forester,5
Senator,5
general,5
Generaldirektör,5
Formgivare,5
fil. mag.,5
mineralog,5
Oceanographer,5
skribent,5
Naval architect,5
Rear-admiral,5
Dramatiker,5
Plant collector,5
Gymnast,5
förlagschef,5
Teaterchef,5
Miscellaneous writer,4
riksbibliotekarie,4
Språkman,4
Operasångare,4
viceamiral,4
Theosophist,4
Överläkare,4
Demographer,4
Akademiräntmästare,4
undervisningsråd,4
ståthållare,4
State archivist,4
psykiater,4
sångpedagog,4
Police magistrate,4
glaskonstnär,4
Skribent,4
Sociologist,4
Church historian,4
Cellist,4
Farmer,4
jägmästare,4
Scientific writer,4
soprintendente,4
Generalkonsul,4
med. dr. h. c.,4
Operasångerska,4
Egyptolog,4
legationsråd,4
Bergsråd,4
Paris,4
Hovkapellmästare,4
Zymologist,4
Priest,4
musikdirektör,4
revyartist,4
Superintendent,4
London,4
Prefect,4
Playwright,4
revyförfattare,4
hovpredikant,4
lantbrukare,4
sjökapten,4
Kulturhistoriker,4
Sjöofficer,4
formgivare,4
Bildhuggare,4
fil mag,4
Konsthantverkare,4
amanuens,4
bildkonstnär,4
fysiolog,4
kantor,4
Magician,4
Kapten,4
folklivsforskare,4
fiskeribiolog,4
Medical jurist,4
Folkhögskoleman,4
Typefounder,4
Notkopist,4
hovman,4
kommendörkapten,4
Arrangör,4
Master in chancery,4
Essayist,4
Political economist,4
Överdirektör,4
Prost,4
militärattaché,4
Court official,4
Generalmajor,4
Freemason,4
Consul-general,4
teaterkritiker,4
bankman,4
komminister,4
Prehistorian,4
Etcher,4
Army surgeon,4
konsthantverkare,4
Professor i historia,4
Biblical Scholar,4
landsantikvarie,4
Dottore,4
Consul,4
ombudsman,4
Kommunalman,4
Jeweller,4
Etnolog,4
uppfinnare,4
Military surgeon,4
Museum keeper,4
Naturvetare,4
Ärkebiskop,4
Teol dr,4
Literary man,4
Musikförläggare,4
Gastronome,4
Governor,4
Rådman,4
Immunologist,4
Fil mag,4
Vice-chancellor,4
Arkivman,4
astrofysiker,4
hovsångerska,3
Brukspatron,3
Amiral,3
Stockbroker,3
Lichenologist,3
musikförläggare,3
Secretary of State,3
numismatiker,3
Naval surgeon,3
Newspaper editor,3
Serologist,3
gitarrist,3
essäist,3
Bryologist,3
generalguvernör,3
musikvetare,3
Neurophysiologist,3
Bankman,3
arkivman,3
Psykolog,3
fil kand,3
statistiker,3
partiordförande,3
Actuary,3
sjuksköterska,3
fru,3
Bibliophile,3
förlagsredaktör,3
Statsråd,3
filosofie doktor,3
Naturvetenskapsman,3
Mesmerist,3
Presbyterian minister,3
stadsarkitekt,3
Commissioner,3
Alpinist,3
Wood-engraver,3
Endocrinologist,3
Grevinna,3
Taxidermist,3
univ.lärare,3
filantrop,3
Dansk författare,3
Musicologist,3
Man-midwife,3
Wholesaler,3
Journal editor,3
konstsamlare,3
East India Co. director,3
ornitolog,3
Public servant,3
Tandläkare,3
Recorder,3
Serjeant-at-law,3
feminist,3
universitetskansler,3
Kansliråd,3
Watchmaker,3
överingenjör,3
sjukgymnast,3
Komminister,3
Law reporter,3
Klassisk filolog,3
teaterledare,3
paleontolog,3
Canon,3
Bildkonstnär,3
Kammarråd,3
Överintendent,3
Geneticist,3
löjtnant,3
textilkonstnär,3
Statsminister,3
Law reformer,3
Bruksägare,3
geofysiker,3
agitator,3
Sångare,3
idéhistoriker,3
Romanist,3
Folkskoleinspektör,3
Heraldist,3
lagman,3
Taxonomist,3
bondkomiker,3
Prosector,3
psykoanalytiker,3
Psykiater,3
Rättsvetenskapsman,3
predikant,3
Polarforskare,3
Travel writer,3
bildhuggare,3
Oboist,3
kommunpolitiker,3
bergsingenjör,3
TV-producent,3
Socialist,3
kommendör,3
tekn. dr.,3
Jur dr,3
donator,3
Local historian,3
Häradshövding,3
kyrkofader,3
Field-marshal,3
konservator,3
Educational reformer,3
Postal official,3
Electrical engineer,3
stadsbibliotekarie,3
Statsman,3
Dental surgeon,3
Vice häradshövding,3
fil. dr.,3
amiral,3
Mineralog,3
Divine,3
Fornforskare,3
mecenat,3
Preacher,3
Horologist,3
Designer,3
Musikhistoriker,3
Professor i konsthistoria,3
Apotekare,3
kabinettskammarherre,3
Diktare,3
hovstallmästare,3
Konstnär.,3
operachef,3
jur. dr.,3
retoriker,3
Kommendör,3
Ryttmästare,3
Helminthologist,3
Musikteoretiker,3
producent,3
Provost,3
musikkritiker,3
Museichef,3
Surgeon-general,3
Mechanical engineer,3
Landscape painter,3
Spiritualist,3
Master of the rolls,3
sjöofficer,3
skolföreståndarinna,3
apotekare,3
Solicitor,3
Plant physiologist,3
Language teacher,3
Järnvägstjänsteman,3
Speaker of the House of Commons,3
Arméofficer,3
Lyriker,3
socialpolitiker,3
Uppfinnare,3
Antikvetare,3
Akademiboktryckare,3
Judge in India,3
Kommissionslantmätare,3
filmregissör,3
Löjtnant,3
kulturhistoriker,3
Social reformer,3
Konstsamlare,3
Språkvetare,3
Professor of Latin,3
Religious leader,3
Landscape gardener,3
fältmarskalk,3
friherrinna,3
Skolföreståndare,3
Konstkritiker,3
Skriftställarinna,3
Technician,3
Fabrikör,3
gymnasielärare,3
zoologist,3
Goldsmith,3
Dekorationsmålare,3
Conservator,3
överdirektör,3
Army medical officer,3
Guvernör,3
forskare,3
Diarist,3
Industriledare,3
musikrecensent,3
Förlagsman,3
Process engraver,3
Biolog,3
Gymnastikdirektör,3
kyrkohistoriker,2
justerare,2
Writer on music,2
universitetslektor,2
Ironmaster,2
ämbetsman.,2
Baron,2
Cotton manufacurer,2
dr Phil,2
föreståndarinna,2
Bookkeeper,2
Körledare,2
Forskningsresande,2
Tax collector,2
Crystallographer,2
Läroboksförfattare,2
Railway projector,2
teol dr,2
statsfru,2
manusförfattare,2
Print collector,2
naturvetenskapsman,2
Railway engineer,2
Professor i teoretisk fysik,2
Universitetslektor,2
King,2
idrottsledare,2
adjunkt,2
Regeringsråd,2
alkemist,2
Kejsare,2
Kommerseråd,2
bruksägare,2
Forger,2
Deaf-and-dumb teacher,2
